url,scraped_at,product_name,ingredients,form,brand,brand_slug,from_cache,life_stage,price
http://brit-petfood.com/my/products,2025-09-11T14:51:58.875345,,,,Brit,brit,True,puppy,
http://brit-petfood.com/nl/products,2025-09-11T14:52:03.164973,,,,Brit,brit,False,puppy,
http://brit-petfood.com/no/products,2025-09-11T14:52:07.601864,,,,Brit,brit,False,,
http://brit-petfood.com/pe/products,2025-09-11T14:52:10.969876,,,,Brit,brit,False,adult,
http://brit-petfood.com/pl/products,2025-09-11T14:52:14.641181,,,wet,Brit,brit,False,senior,"13,20 zł"
http://brit-petfood.com/ro/products,2025-09-11T14:52:17.643244,,,,Brit,brit,False,,
http://brit-petfood.com/sr/products,2025-09-11T14:52:20.856066,,,,Brit,brit,False,,
http://brit-petfood.com/sv/products,2025-09-11T14:52:24.252087,,,,Brit,brit,False,,
http://brit-petfood.com/sk/products,2025-09-11T14:52:27.426875,,,,Brit,brit,False,,
http://brit-petfood.com/ua/products,2025-09-11T14:52:30.721423,,,,Brit,brit,False,,
http://brit-petfood.com/en/products,2025-09-11T14:52:33.229819,,,,Brit,brit,False,,
http://brit-petfood.com/uy/products,2025-09-11T14:52:36.026758,,,,Brit,brit,False,adult,
https://www.brit-petfood.com/en/products,2025-09-11T14:52:38.810169,,,,Brit,brit,False,,
https://www.brit-petfood.com/en/products/rodents?brand=6760-brit-animals,2025-09-11T14:52:41.189963,,,dry,Brit,brit,False,adult,
https://brit-petfood.com/en/products/dogs?brand=544299-brit-jerky-new,2025-09-11T14:52:44.145664,,,dry,Brit,brit,False,puppy,
https://brit-petfood.com/en/products/cats?brand=7477-brit-care-new&amp;productType=6806-dry,2025-09-11T14:52:46.417690,,,dry,Brit,brit,False,adult,
https://www.brit-petfood.com/en/products/rodents/5157-brit-animals-rabbit-junior-complete,2025-09-11T14:52:49.399017,Brit Animals RABBIT JUNIOR Complete,"Composition:alfalfa, herbs (nettle, dandelion, plantain), barley, dried apples, corn, wheat, carrot, linseed, brewer´s yeast, mannan-oligosaccharides (75 mg/kg), fructo-oligosaccharides (50 mg/kg), milk thistle (50 mg/kg), Yucca schidigera extract (45 mg/kg).",,Brit,brit,False,senior,
https://www.brit-petfood.com/en/products/dogs/5160-brit-training-snack-s,2025-09-11T14:52:51.997002,Brit Training Snack S,"Composition:rice, chicken, glucose syrup, salmon oil, hydrolysed chicken liver, collagen.",,Brit,brit,False,,
https://www.brit-petfood.com/en/products/dogs/5164-brit-training-snack-m,2025-09-11T14:52:55.234308,Brit Training Snack M,"Composition:rice, chicken, glucose syrup, salmon oil, hydrolysed chicken liver, collagen.",,Brit,brit,False,,
https://www.brit-petfood.com/en/products/dogs/5168-brit-training-snack-l,2025-09-11T14:52:58.084715,Brit Training Snack L,"Composition:rice, chicken, glucose syrup, salmon oil, hydrolysed chicken liver, collagen.",,Brit,brit,False,,
