url,brand,name,has_ingredients,has_nutrition,food_type
https://www.zooplus.com/shop/dogs/canned_dog_food/lilys_kitchen_wet_dog_food/lilys_kitchen_tray_dog_food/375092?activeVariant=375092.5,Lilys Kitchen Wet Dog Food,"Lily's Kitchen Puppy Recipe with Turkey, Duck & Kale",False,False,wet
https://www.zooplus.com/shop/dogs/canned_dog_food/royal_canin/size/2049681?activeVariant=2049681.1,Royal Canin,Royal Canin Maxi Adult in Loaf,True,False,wet
https://www.zooplus.com/shop/dogs/canned_dog_food/briantos/briantos_chunks_in_gravy/2096583?activeVariant=2096583.0,Briantos,Briantos Chunks in Gravy 12 x 100g,True,False,wet
https://www.zooplus.com/shop/dogs/canned_dog_food/mjamjam_wet_dog_food/mjamjam_junior/2108460?activeVariant=2108460.0,Mjamjam Wet Dog Food,MjAMjAM Junior 6 x 200g,True,False,wet
https://www.zooplus.com/shop/dogs/canned_dog_food/rocco/single_meat/1874717?activeVariant=1874717.3,Rocco,Rocco Single Meat 6 x 800g,True,False,wet
https://www.zooplus.com/shop/dogs/canned_dog_food/rocco/single_meat/1874717?activeVariant=1874717.2,Rocco,Rocco Single Meat 6 x 800g,True,False,wet
https://www.zooplus.com/shop/dogs/canned_dog_food/almo_nature/cans/431509?activeVariant=431509.7,Almo Nature,Almo Nature HFC 6 x 280g / 290g,True,False,wet
https://www.zooplus.com/shop/dogs/canned_dog_food/rinti/1949625?activeVariant=1949625.1,Rinti,RINTI Light Prey 9 x 300 g,True,False,wet
https://www.zooplus.com/shop/dogs/canned_dog_food/briantos/delicious_pate/2096661?activeVariant=2096661.0,Briantos,Briantos Delicious Paté 12x100g,False,False,wet
https://www.zooplus.com/shop/dogs/canned_dog_food/macs/1947909?activeVariant=1947909.3,Macs,MAC's Mono Sensitive 6 x 800 g,True,False,wet
https://www.zooplus.com/shop/dogs/canned_dog_food/briantos/delicious_pate/2096908?activeVariant=2096908.1,Briantos,Briantos Delicious Paté Saver Pack 48 x 100g,False,False,wet
https://www.zooplus.com/shop/dogs/canned_dog_food/briantos/briantos_chunks_in_gravy/2096583?activeVariant=2096583.1,Briantos,Briantos Chunks in Gravy 12 x 100g,True,False,wet
https://www.zooplus.com/shop/dogs/canned_dog_food/briantos/briantos_chunks_in_gravy/2096931?activeVariant=2096931.1,Briantos,Briantos Chunks in Gravy Saver Pack 48 x 100g,True,False,wet
https://www.zooplus.com/shop/dogs/canned_dog_food/macs/1947907?activeVariant=1947907.6,Macs,MAC's Adult 6 x 800g,True,False,wet
https://www.zooplus.com/shop/dogs/canned_dog_food/purizon_wet_dog_food/organic/1870766?activeVariant=1870766.2,Purizon Wet Dog Food,Purizon Organic 6 x 800g,True,False,wet
