product_key,product_name,brand,product_url
155444|12kg_iams_advanced_nutrition_dry_dog_food_10kg_2kg_free_|dry,12kg IAMS Advanced Nutrition Dry Dog Food - 10kg + 2kg Free! *,155444,https://www.zooplus.com/shop/dogs/dry_dog_food/155444/853523?activeVariant=853523.12
brit|britcareminigrainfreelightsterilized|dry,Brit Care Mini Grain Free Light & Sterilized,Brit,https://www.zooplus.com/shop/dogs/dry_dog_food/brit/brit_care/1948991?activeVariant=1948991.1
brit|britcareminigrainfreepuppylamb|dry,Brit Care Mini Grain Free Puppy Lamb,Brit,https://www.zooplus.com/shop/dogs/dry_dog_food/brit/brit_care/1948992?activeVariant=1948992.0
brit|britfreshturkeywithpealightfitslim|dry,Brit Fresh Turkey with Pea Light Fit & Slim,Brit,https://www.zooplus.com/shop/dogs/dry_dog_food/brit/brit_fresh/1949123?activeVariant=1949123.0
brit|britpremiumbynaturelight|dry,Brit Premium by Nature Light,Brit,https://www.zooplus.com/shop/dogs/dry_dog_food/brit/brit_premium/1949070?activeVariant=1949070.2
brit|britpremiumbynatureseniorsm|dry,Brit Premium by Nature Senior S/M,Brit,https://www.zooplus.com/shop/dogs/dry_dog_food/brit/brit_premium/1947653?activeVariant=1947653.0
brit|britpremiumbynaturesport|dry,Brit Premium by Nature Sport,Brit,https://www.zooplus.com/shop/dogs/dry_dog_food/brit/brit_premium/1947654?activeVariant=1947654.0
burns|burnsadultseniororiginaltoysmallbreedchickenrice|dry,Burns Adult & Senior Original Toy & Small Breed - Chicken & Rice,Burns,https://www.zooplus.com/shop/dogs/dry_dog_food/burns/burns_adult/1108520?activeVariant=1108520.0
burns|burnspuppyoriginalchickenrice|dry,Burns Puppy Original - Chicken & Rice,Burns,https://www.zooplus.com/shop/dogs/dry_dog_food/burns/burns_puppy/390248?activeVariant=390248.5
calibra|calibradoglifeseniormediumfreshbeef|dry,Calibra Dog Life Senior Medium Fresh Beef,Calibra,https://www.zooplus.com/shop/dogs/dry_dog_food/calibra/1947491?activeVariant=1947491.0
carnilove|carnilovefreshadultcarptroutfordogs|dry,"Carnilove Fresh Adult carp, trout for dogs",Carnilove,https://www.zooplus.com/shop/dogs/dry_dog_food/carnilove/1947495?activeVariant=1947495.1
carnilove|carnilovefreshadultsmallbreedostrichlambfordogs|dry,"Carnilove Fresh Adult Small Breed ostrich, lamb for dogs",Carnilove,https://www.zooplus.com/shop/dogs/dry_dog_food/carnilove/1947564?activeVariant=1947564.0
cavom|cavomcompletesenior|dry,Cavom Complete Senior,Cavom,https://www.zooplus.com/shop/dogs/dry_dog_food/cavom/1949538?activeVariant=1949538.0
concept_for_life_veterinary_diet|concept_for_life_veterinary_diet_hypoallergenic_-_kangaroo|wet,Hypoallergenic - Kangaroo,Concept for Life Veterinary Diet,https://www.zooplus.com/shop/dogs/canned_dog_food/concept_for_life_vet_diet_dog_wet/hypoallergenic/760117?activeVariant=760117.5
concept_for_life_veterinary_diet|concept_for_life_veterinary_diet_hypoallergenic_insect|dry,Hypoallergenic Insect,Concept for Life Veterinary Diet,https://www.zooplus.com/shop/dogs/dry_dog_food/concept_for_life_vet_dog_dry/hypoallergenic/818920?activeVariant=818920.8
concept-for-life|concept_for_life_boxer_adult|dry,for Life Boxer Adult,Concept For Life,https://www.zooplus.com/shop/dogs/dry_dog_food/concept_for_life/concept_for_life_breed/993420?activeVariant=993420.1
conceptforlife|conceptforlifefrenchbulldogadult|dry,Concept for Life French Bulldog Adult,Concept for Life,https://www.zooplus.com/shop/dogs/dry_dog_food/concept_for_life/concept_for_life_breed/949492?activeVariant=949492.0
conceptforlifevetdietdogwet|concept_for_life_veterinary_diet_hypoallergenic_kangaroo|wet,Concept for Life Veterinary Diet Hypoallergenic - Kangaroo,Concept For Life Vet Diet Dog Wet,https://www.zooplus.com/shop/dogs/canned_dog_food/concept_for_life_vet_diet_dog_wet/hypoallergenic/760117?activeVariant=760117.4
conceptforlifevetdietdogwet|concept_for_life_veterinary_diet_mobility|wet,Concept for Life Veterinary Diet Mobility,Concept For Life Vet Diet Dog Wet,https://www.zooplus.com/shop/dogs/canned_dog_food/concept_for_life_vet_diet_dog_wet/mobility/760119?activeVariant=760119.5
conceptforlifevetdietdogwet|concept_for_life_veterinary_diet_weight_control|wet,Concept for Life Veterinary Diet Weight Control,Concept For Life Vet Diet Dog Wet,https://www.zooplus.com/shop/dogs/canned_dog_food/concept_for_life_vet_diet_dog_wet/weight_control/760116?activeVariant=760116.4
dingo||dry,,Dingo,https://www.zooplus.com/shop/dogs/dry_dog_food/dingo/2389026?activeVariant=2389026.0
dingo|gdingodrydogfood10off|dry,g Dingo Dry Dog Food - 10% Off! *,Dingo,https://www.zooplus.com/shop/dogs/dry_dog_food/dingo/2389026?activeVariant=2389026.0
dogrewardtreats|coya_adult_dog_topper|unknown,Coya Adult Dog Topper,Dog Reward Treats,https://www.zooplus.com/shop/dogs/dog_treats_chews/dog_reward_treats/other/2187525?activeVariant=2187525.1
dogsntiger|dogsntigeradultinnocentlamb|dry,Dogs'n Tiger Adult Innocent Lamb,Dogs'N Tiger,https://www.zooplus.com/shop/dogs/dry_dog_food/dogsn_tiger/2188952?activeVariant=2188952.1
eukanuba|eukanuba_caring_senior_large_breed_chicken|dry,Caring Senior Large Breed Chicken,Eukanuba,https://www.zooplus.com/shop/dogs/dry_dog_food/eukanuba/senior/701140?activeVariant=701140.3
eukanuba|eukanuba_caring_senior_medium_breed_chicken|dry,Caring Senior Medium Breed Chicken,Eukanuba,https://www.zooplus.com/shop/dogs/dry_dog_food/eukanuba/senior/701032?activeVariant=701032.2
eukanuba|eukanuba_daily_care_adult_mono-protein_with_salmon|dry,Daily Care Adult Mono-Protein with Salmon,Eukanuba,https://www.zooplus.com/shop/dogs/dry_dog_food/eukanuba/eukanuba_special_care/1383230?activeVariant=1383230.1
