brand,base_name,variant_count,product_key,product_name,is_parent,has_size,size_value,has_pack,pack_value,has_ingredients,has_nutrition,ingredients_consistent,nutrition_consistent
Mjamjam Wet Dog Food,mjamjam adult dog saver pack 24 x,3,mjamjamwetdogfood|mjamjam_adult_dog_saver_pack_24_x_400g|wet,MjAMjAM Adult Dog Saver Pack 24 x 400g,True,True,400g,True,24 x 400g,True,False,False,True
Mjamjam Wet Dog Food,mjamjam adult dog saver pack 24 x,3,mjamjamwetdogfood|mjamjam_adult_dog_saver_pack_24_x_800g|wet,MjAMjAM Adult Dog Saver Pack 24 x 800g,False,True,800g,True,24 x 800g,True,False,False,True
Mjamjam Wet Dog Food,mjamjam adult dog saver pack 24 x,3,mjamjamwetdogfood|mjamjam_adult_dog_saver_pack_24_x_200g|wet,MjAMjAM Adult Dog Saver Pack 24 x 200g,False,True,200g,True,24 x 200g,True,False,False,True
Mjamjam Wet Dog Food,mjamjam junior 6 x,3,mjamjamwetdogfood|mjamjam_junior_6_x_800g|wet,MjAMjAM Junior 6 x 800g,True,True,800g,True,6 x 800g,True,False,False,True
Mjamjam Wet Dog Food,mjamjam junior 6 x,3,mjamjamwetdogfood|mjamjam_junior_6_x_400g|wet,MjAMjAM Junior 6 x 400g,False,True,400g,True,6 x 400g,True,False,False,True
Mjamjam Wet Dog Food,mjamjam junior 6 x,3,mjamjamwetdogfood|mjamjam_junior_6_x_200g|wet,MjAMjAM Junior 6 x 200g,False,True,200g,True,6 x 200g,True,False,False,True
Purizon Wet Dog Food,purizon puppy 6 x,3,purizonwetdogfood|purizon_puppy_6_x_400g|wet,Purizon Puppy 6 x 400g,True,True,400g,True,6 x 400g,True,False,False,True
Purizon Wet Dog Food,purizon puppy 6 x,3,purizonwetdogfood|purizon_puppy_6_x_800g|wet,Purizon Puppy 6 x 800g,False,True,800g,True,6 x 800g,True,False,False,True
Purizon Wet Dog Food,purizon puppy 6 x,3,purizonwetdogfood|purizon_puppy_6_x_300g|wet,Purizon Puppy 6 x 300g,False,True,300g,True,6 x 300g,True,False,False,True
Purizon Wet Dog Food,purizon organic saver pack 24 x,3,purizonwetdogfood|purizon_organic_saver_pack_24_x_400g|wet,Purizon Organic Saver Pack 24 x 400g,True,True,400g,True,24 x 400g,True,False,False,True
Purizon Wet Dog Food,purizon organic saver pack 24 x,3,purizonwetdogfood|purizon_organic_saver_pack_24_x_200g|wet,Purizon Organic Saver Pack 24 x 200g,False,True,200g,True,24 x 200g,True,False,False,True
Purizon Wet Dog Food,purizon organic saver pack 24 x,3,purizonwetdogfood|purizon_organic_saver_pack_24_x_800g|wet,Purizon Organic Saver Pack 24 x 800g,False,True,800g,True,24 x 800g,True,False,False,True
Purizon Wet Dog Food,purizon senior 6 x,3,purizonwetdogfood|purizon_senior_6_x_300g|wet,Purizon Senior 6 x 300g,True,True,300g,True,6 x 300g,True,False,False,True
Purizon Wet Dog Food,purizon senior 6 x,3,purizonwetdogfood|purizon_senior_6_x_400g|wet,Purizon Senior 6 x 400g,False,True,400g,True,6 x 400g,False,False,False,True
Purizon Wet Dog Food,purizon senior 6 x,3,purizonwetdogfood|purizon_senior_6_x_800g|wet,Purizon Senior 6 x 800g,False,True,800g,True,6 x 800g,True,False,False,True
Terra Canis,terra canis essential 8+ 6 x,2,terracanis|terra_canis_essential_8_6_x_780g|wet,Terra Canis Essential 8+ 6 x 780g,True,True,780g,True,6 x 780g,True,False,True,True
Terra Canis,terra canis essential 8+ 6 x,2,terracanis|terra_canis_essential_8_6_x_385_g|wet,Terra Canis Essential 8+ 6 x 385 g,False,True,385 g,True,6 x 385 g,False,False,True,True
Wolf of Wilderness,"wolf of wilderness adult expedition, 6 x",2,wolfofwilderness|wolf_of_wilderness_adult_expedition_6_x_800_g|wet,"Wolf of Wilderness Adult Expedition, 6 x 800 g",True,True,800 g,True,6 x 800 g,True,True,True,False
Wolf of Wilderness,"wolf of wilderness adult expedition, 6 x",2,wolfofwilderness|wolf_of_wilderness_adult_expedition_6_x_400_g|wet,"Wolf of Wilderness Adult Expedition, 6 x 400 g",False,True,400 g,True,6 x 400 g,True,True,True,False
Wolf of Wilderness,wolf of wilderness adult single protein saver pack 24 x,2,wolfofwilderness|wolf_of_wilderness_adult_single_protein_saver_pack_24_x_400g|wet,Wolf of Wilderness Adult Single Protein Saver Pack 24 x 400g,True,True,400g,True,24 x 400g,True,False,True,True
Wolf of Wilderness,wolf of wilderness adult single protein saver pack 24 x,2,wolfofwilderness|wolf_of_wilderness_adult_single_protein_saver_pack_24_x_800g|wet,Wolf of Wilderness Adult Single Protein Saver Pack 24 x 800g,False,True,800g,True,24 x 800g,True,False,True,True
Wolf of Wilderness,little wolf of wilderness saver pack 24 x,2,wolfofwilderness|little_wolf_of_wilderness_saver_pack_24_x_400g|wet,Little Wolf of Wilderness Saver Pack 24 x 400g,True,True,400g,True,24 x 400g,True,False,False,True
Wolf of Wilderness,little wolf of wilderness saver pack 24 x,2,wolfofwilderness|little_wolf_of_wilderness_saver_pack_24_x_800g|wet,Little Wolf of Wilderness Saver Pack 24 x 800g,False,True,800g,True,24 x 800g,True,False,False,True
Wolf of Wilderness,wolf of wilderness senior saver pack 24 x,2,wolfofwilderness|wolf_of_wilderness_senior_saver_pack_24_x_800g|wet,Wolf of Wilderness Senior Saver Pack 24 x 800g,False,True,800g,True,24 x 800g,True,False,False,True
Wolf of Wilderness,wolf of wilderness senior saver pack 24 x,2,wolfofwilderness|wolf_of_wilderness_senior_saver_pack_24_x_400g|wet,Wolf of Wilderness Senior Saver Pack 24 x 400g,True,True,400g,True,24 x 400g,True,True,False,True
Wolf of Wilderness,wolf of wilderness the taste of saver pack 24 x,2,wolfofwilderness|wolf_of_wilderness_the_taste_of_saver_pack_24_x_400g|wet,Wolf of Wilderness The Taste of Saver Pack 24 x 400g,True,True,400g,True,24 x 400g,True,False,False,True
Wolf of Wilderness,wolf of wilderness the taste of saver pack 24 x,2,wolfofwilderness|wolf_of_wilderness_the_taste_of_saver_pack_24_x_800g|wet,Wolf of Wilderness The Taste of Saver Pack 24 x 800g,False,True,800g,True,24 x 800g,True,False,False,True
Wolf of Wilderness,little wolf of wilderness 6 x,2,wolfofwilderness|little_wolf_of_wilderness_6_x_800g|wet,Little Wolf of Wilderness 6 x 800g,False,True,800g,True,6 x 800g,True,False,False,True
Wolf of Wilderness,little wolf of wilderness 6 x,2,wolfofwilderness|little_wolf_of_wilderness_6_x_400g|wet,Little Wolf of Wilderness 6 x 400g,True,True,400g,True,6 x 400g,True,True,False,True
Wolf of Wilderness,wolf of wilderness senior 6 x,2,wolfofwilderness|wolf_of_wilderness_senior_6_x_800g|wet,Wolf of Wilderness Senior 6 x 800g,True,True,800g,True,6 x 800g,True,False,False,True
Wolf of Wilderness,wolf of wilderness senior 6 x,2,wolfofwilderness|wolf_of_wilderness_senior_6_x_400g|wet,Wolf of Wilderness Senior 6 x 400g,False,True,400g,True,6 x 400g,True,False,False,True
Wolf of Wilderness,wolf of wilderness adult the taste of 6 x,2,wolfofwilderness|wolf_of_wilderness_adult_the_taste_of_6_x_400g|wet,Wolf of Wilderness Adult The Taste of 6 x 400g,True,True,400g,True,6 x 400g,True,False,False,True
Wolf of Wilderness,wolf of wilderness adult the taste of 6 x,2,wolfofwilderness|wolf_of_wilderness_adult_the_taste_of_6_x_800g|wet,Wolf of Wilderness Adult The Taste of 6 x 800g,False,True,800g,True,6 x 800g,True,False,False,True
Wow,wow adult 6 x,2,wow|wow_adult_6_x_400_g|wet,WOW Adult 6 x 400 g,True,True,400 g,True,6 x 400 g,True,False,False,True
Wow,wow adult 6 x,2,wow|wow_adult_6_x_800_g|wet,WOW Adult 6 x 800 g,False,True,800 g,True,6 x 800 g,True,False,False,True
Wow,wow senior duck,2,wow|wow_senior_duck_400g|wet,WOW Senior duck 400g,False,True,400g,False,,False,False,True,True
Wow,wow senior duck,2,wow|wow_senior_duck_800_g|wet,WOW Senior duck 800 g,True,True,800 g,False,,True,False,True,True
Animonda,animonda grancarno adult single protein saver pack 24 x,2,animonda|animonda_grancarno_adult_single_protein_saver_pack_24_x_400g|wet,animonda GranCarno Adult Single Protein Saver Pack 24 x 400g,True,True,400g,True,24 x 400g,True,False,False,True
Animonda,animonda grancarno adult single protein saver pack 24 x,2,animonda|animonda_grancarno_adult_single_protein_saver_pack_24_x_800g|wet,animonda GranCarno Adult Single Protein Saver Pack 24 x 800g,False,True,800g,True,24 x 800g,True,False,False,True
Rinti,rinti gold 12 x,2,rinti|rinti_gold_12_x_185_g|wet,RINTI Gold 12 x 185 g,False,True,185 g,True,12 x 185 g,True,False,False,True
Rinti,rinti gold 12 x,2,rinti|rinti_gold_12_x_185g|wet,RINTI Gold 12 x 185g,True,True,185g,True,12 x 185g,True,False,False,True
Rinti,rinti adult 6 x,2,rinti|rinti_adult_6_x_800g|wet,RINTI Adult 6 x 800g,True,True,800g,True,6 x 800g,True,False,False,True
Rinti,rinti adult 6 x,2,rinti|rinti_adult_6_x_400g|wet,RINTI Adult 6 x 400g,False,True,400g,True,6 x 400g,True,False,False,True
Happy Dog,happy dog pure 6 x,2,happydog|happy_dog_pure_6_x_800g|wet,Happy Dog Pure 6 x 800g,True,True,800g,True,6 x 800g,True,False,False,True
Happy Dog,happy dog pure 6 x,2,happydog|happy_dog_pure_6_x_400g|wet,Happy Dog Pure 6 x 400g,False,True,400g,True,6 x 400g,True,False,False,True
Rinti,rinti single meat 6 x,2,rinti|rinti_single_meat_6_x_800g|wet,RINTI Single Meat 6 x 800g,True,True,800g,True,6 x 800g,True,False,True,True
Rinti,rinti single meat 6 x,2,rinti|rinti_single_meat_6_x_400g|wet,RINTI Single Meat 6 x 400g,False,True,400g,True,6 x 400g,False,False,True,True
Purizon Wet Dog Food,purizon adult saver pack 24 x,2,purizonwetdogfood|purizon_adult_saver_pack_24_x_800g|wet,Purizon Adult Saver Pack 24 x 800g,True,True,800g,True,24 x 800g,True,False,False,True
Purizon Wet Dog Food,purizon adult saver pack 24 x,2,purizonwetdogfood|purizon_adult_saver_pack_24_x_400g|wet,Purizon Adult Saver Pack 24 x 400g,False,True,400g,True,24 x 400g,True,False,False,True
Lukullus,lukullus menu gustico saver pack 24 x,2,lukullus|lukullus_menu_gustico_saver_pack_24_x_400g|wet,Lukullus Menu Gustico Saver Pack 24 x 400g,True,True,400g,True,24 x 400g,True,False,False,True
Lukullus,lukullus menu gustico saver pack 24 x,2,lukullus|lukullus_menu_gustico_saver_pack_24_x_800g|wet,Lukullus Menu Gustico Saver Pack 24 x 800g,False,True,800g,True,24 x 800g,True,False,False,True
Rinti,rinti canine intestinal with chicken,2,rinti|rinti_canine_intestinal_with_chicken_800_g|wet,RINTI Canine Intestinal with chicken 800 g,True,True,800 g,False,,True,False,False,True
Rinti,rinti canine intestinal with chicken,2,rinti|rinti_canine_intestinal_with_chicken_400_g|wet,RINTI Canine Intestinal with Chicken 400 g,False,True,400 g,False,,True,False,False,True
