id,source_domain,source_url,brand,product_name,form,life_stage,kcal_per_100g,protein_percent,fat_percent,fiber_percent,ash_percent,moisture_percent,ingredients_raw,ingredients_tokens,contains_chicken,pack_sizes,price_eur,price_currency,available_countries,gtin,first_seen_at,last_seen_at,fingerprint,kcal_basis,image_url
fc6f1e1f-7f5e-4688-867e-8deb0114b249,petfoodexpert.com,https://petfoodexpert.com/food/bounce-bella-tasty-trout-salmon-senior,Bounce,Bella Tasty Trout  Salmon Senior,,,366.0,8.0,6.0,4.0,,,,[],False,[],,,"['UK', 'EU']",,2025-09-06T23:00:49.012896+00:00,2025-09-06T23:00:49.012915+00:00,fa919aa21021cbe07204805a029f32c3,estimated,https://cibjeqgftuxuezarjsdl.supabase.co/storage/v1/object/public/dog-food/bounce-bella-tasty-trout-salmon-senior.jpg?
8d21fc7a-c3ec-4504-8d53-d022f240f31b,petfoodexpert.com,https://petfoodexpert.com/food/bounce-bella-salmon-large-breed-puppy,Bounce,Bella Salmon Large Breed Puppy,,,366.0,10.0,6.0,4.0,,,,[],False,[],,,"['UK', 'EU']",,2025-09-06T23:00:54.874248+00:00,2025-09-06T23:00:54.874262+00:00,017d94e7db5b4a6276110e830a5dec7f,estimated,https://cibjeqgftuxuezarjsdl.supabase.co/storage/v1/object/public/dog-food/bounce-bella-salmon-large-breed-puppy.jpg?
69abb796-7b10-447f-bf1b-3e2fd6c3a94d,petfoodexpert.com,https://petfoodexpert.com/food/purina-pro-plan-healthy-start-large-athletic-puppy,Purina,Pro Plan Healthy Start Large Athletic Puppy,,,346.0,2.0,2.0,4.0,,,,[],False,[],,,"['UK', 'EU']",,2025-09-06T23:01:04.863232+00:00,2025-09-06T23:01:04.863249+00:00,93a4f21415a45a3c6c32f00a07e22d58,estimated,https://cibjeqgftuxuezarjsdl.supabase.co/storage/v1/object/public/dog-food/purina-pro-plan-healthy-start-large-athletic-puppy.jpg?
adb8897e-d270-4014-a634-4d731e0fc0e7,petfoodexpert.com,https://petfoodexpert.com/food/aatu-duck-dry-dog,Aatu,Aatu Free Run Duck,dry,adult,372.5,10.0,8.0,5.0,,,"Duck (66%), Dried Duck (14%), Peas, Sweet Potato, Apple, Chickpeas, Minerals, Salmon Oil, Tapioca, Glucosamine 178mg/kg, Methylsulfonylmethane 178 mg/kg, Chondroitin 125 mg/kg, Lucerne, Cranberry, Pear, Blueberry, Mulberry, Orange, Bilberry, Cowberry, Carrot, Tomato, Chicory, Parsley, Peppermint, Spirulina, Seaweed, Oregano, Sage, Marjoram, Thyme, Chamomile, Rosehip, Stinging Nettle, Yucca, Marigold, Aniseed, Fenugreek, Cinnamon","['duck', 'dried duck', 'peas', 'sweet potato', 'apple', 'chickpeas', 'minerals', 'salmon oil', 'tapioca', 'glucosamine mg/kg', 'methylsulfonylmethane  mg/kg', 'chondroitin  mg/kg', 'lucerne', 'cranberry', 'pear', 'blueberry', 'mulberry', 'orange', 'bilberry', 'cowberry', 'carrot', 'tomato', 'chicory', 'parsley', 'peppermint', 'spirulina', 'seaweed', 'oregano', 'sage', 'marjoram', 'thyme', 'chamomile', 'rosehip', 'stinging nettle', 'yucca', 'marigold', 'aniseed', 'fenugreek', 'cinnamon']",False,"['1.5kg', '5kg', '10kg']",28.07,GBP,"['UK', 'EU']",,2025-09-06T16:17:21.069065+00:00,2025-09-07T12:56:33.838183+00:00,7c037a01a8f384a4d425f63d80b60e4e,estimated,https://cibjeqgftuxuezarjsdl.supabase.co/storage/v1/object/public/dog-food/aatu-duck-dry-dog.jpg?
258f1d4f-60da-4a5c-8bb0-1d54807e0049,petfoodexpert.com,https://petfoodexpert.com/food/purina-pro-plan-everyday-nutrition-large-robust-puppy,Purina,Pro Plan Everyday Nutrition Large Robust Puppy,,,,,,,,,,[],False,[],,,"['UK', 'EU']",,2025-09-06T23:01:14.814153+00:00,2025-09-06T23:01:14.81417+00:00,0b50d0a1c4b15d818e6f0ff576d8c9a2,,https://cibjeqgftuxuezarjsdl.supabase.co/storage/v1/object/public/dog-food/purina-pro-plan-everyday-nutrition-large-robust-puppy.jpg?
580799b7-928f-4745-881e-7b1ba5f9f846,petfoodexpert.com,https://petfoodexpert.com/food/purina-pro-plan-everyday-nutrition-medium-adult,Purina,Pro Plan Everyday Nutrition Medium Adult,,,,,,,,,,[],False,[],,,"['UK', 'EU']",,2025-09-06T23:01:31.760269+00:00,2025-09-06T23:01:31.760285+00:00,1d56cc4f1ad327b4561686ae88e67486,,https://cibjeqgftuxuezarjsdl.supabase.co/storage/v1/object/public/dog-food/purina-pro-plan-everyday-nutrition-medium-adult.jpg?
8f6c2835-fd1e-4014-bde8-d9bcd56787c5,petfoodexpert.com,https://petfoodexpert.com/food/purina-pro-plan-sensitive-skin-medium-puppy,Purina,Pro Plan Sensitive Skin Medium Puppy,,,346.0,2.0,2.0,4.0,,,,[],False,[],,,"['UK', 'EU']",,2025-09-06T23:01:41.751593+00:00,2025-09-06T23:01:41.751619+00:00,0255153b8f580e65c633ebbe1f5bcaf7,estimated,https://cibjeqgftuxuezarjsdl.supabase.co/storage/v1/object/public/dog-food/purina-pro-plan-sensitive-skin-medium-puppy.jpg?
ab13ab40-e488-40f5-91c4-d820eaf4a11a,petfoodexpert.com,https://petfoodexpert.com/food/mcadams-freeze-dried-free-range-turkey,McAdams,McAdams Freeze Dried Free Range Turkey,dry,adult,382.5,10.0,10.0,5.0,,,"Boneless Free Range Turkey 86.5%, Sweet Potato 5%, Carrots 5%, Cranberries 1%, Glucosamine (750mg/kg), Chondroitin Sulphate (750mg/kg), Seaweed 0.1%, Yucca, Chicory Extract, Green Tea 0.005% Dandelion Root, Hawthorn Leaf 0.005%.","['boneless free range turkey', 'sweet potato', 'carrots', 'cranberries', 'glucosamine', 'chondroitin sulphate', 'seaweed', 'yucca', 'chicory extract', 'green tea  dandelion root', 'hawthorn leaf .']",False,[],,GBP,['EU'],,2025-09-06T15:28:04.31712+00:00,2025-09-06T21:57:25.465929+00:00,6c71e5e10ff664310a55f6236b6fec94,estimated,https://cibjeqgftuxuezarjsdl.supabase.co/storage/v1/object/public/dog-food/mcadams-freeze-dried-free-range-turkey.jpg?
a8803e82-27bf-4e6f-bf0c-886b0bcb7bb7,petfoodexpert.com,https://petfoodexpert.com/food/purina-pro-plan-performance-chicken-adult,Purina,Pro Plan Performance Chicken Adult,,,346.0,4.0,2.0,4.0,,,,[],False,[],,,"['UK', 'EU']",,2025-09-06T23:01:51.161289+00:00,2025-09-06T23:01:51.161313+00:00,71b7217d34717ea4bda104eedc6fcb74,estimated,https://cibjeqgftuxuezarjsdl.supabase.co/storage/v1/object/public/dog-food/purina-pro-plan-performance-chicken-adult.jpg?
78aace76-dd0f-43db-ab25-89b6f16fa1af,petfoodexpert.com,https://petfoodexpert.com/food/aardvark-complete-grain-free-insect-dry-food-dry-dog,Aardvark,Aardvark Complete Grain Free Insect Dry Food,dry,all,376.0,4.0,8.0,4.0,,,"35% Insect (Insect Meal 30%, Insect Oil 5%), Sweet Potato 33.5%, Field Beans 14.5%, Linseed 3.8%, Sunflower Oil 3.8%, Vegetable Stock 1.9%, Chickpea 1%, Vitamins and Minerals, Coconut Oil 0.1%, Fructooligosaccharides (95 mg/kg), Mannan Oligosaccharides (25 mg/kg).","['insect (insect meal', 'insect oil )', 'sweet potato', 'field beans', 'linseed', 'sunflower oil', 'vegetable stock', 'chickpea', 'vitamins and minerals', 'coconut oil', 'fructooligosaccharides', 'mannan oligosaccharides .']",False,['1.5kg'],15.2,GBP,"['UK', 'EU']",,2025-09-06T16:05:09.878973+00:00,2025-09-06T21:57:28.239747+00:00,eeff550774a7707aba5c7583c0aec77b,estimated,https://cibjeqgftuxuezarjsdl.supabase.co/storage/v1/object/public/dog-food/aardvark-complete-grain-free-insect-dry-food-dry-dog.jpg?
