product_key,brand,brand_slug,product_name
advance_veterinary_diets|advance_maxi_adult|dry,Advance Veterinary Diets,advance_veterinary_diets,Advance Maxi Adult
acana|highest_protein_grasslands|dry,Acana,acana,Highest Protein Grasslands
acana|highest_protein_pacifica|dry,Acana,acana,Highest Protein Pacifica
acana|highest_protein_ranchlands|unknown,Acana,acana,Highest Protein Ranchlands
acana|light__fit_recipe|dry,Acana,acana,Light  fit Recipe
acana|prairie_poultry|dry,Acana,acana,Prairie Poultry
acana|red_meat|dry,Acana,acana,Red Meat
acana|sport__agility_recipe|unknown,Acana,acana,Sport  Agility Recipe
acana|wild_coast|unknown,Acana,acana,Wild Coast
acana|yorkshire_pork|dry,Acana,acana,Yorkshire Pork
advance_veterinary_diets|advance_maxi_light|dry,Advance Veterinary Diets,advance_veterinary_diets,Advance Maxi Light
arden|grange_adult_grain_free_duck|unknown,Arden,arden,Grange Adult Grain Free Duck
advance_veterinary_diets|advance_maxi_senior|dry,Advance Veterinary Diets,advance_veterinary_diets,Advance Maxi Senior
advance_veterinary_diets|advance_medium_adult|dry,Advance Veterinary Diets,advance_veterinary_diets,Advance Medium Adult
advance_veterinary_diets|advance_medium_light_chicken|dry,Advance Veterinary Diets,advance_veterinary_diets,Advance Medium Light Chicken
advance_veterinary_diets|advance_medium_puppy_protect|dry,Advance Veterinary Diets,advance_veterinary_diets,Advance Medium Puppy Protect
advance_veterinary_diets|advance_medium_senior_vitality_7+|dry,Advance Veterinary Diets,advance_veterinary_diets,Advance Medium Senior Vitality 7+
advance_veterinary_diets|advance_mini_adult|dry,Advance Veterinary Diets,advance_veterinary_diets,Advance Mini Adult
advance_veterinary_diets|advance_mini_sensitive|dry,Advance Veterinary Diets,advance_veterinary_diets,Advance Mini Sensitive
advance_veterinary_diets|advance_puppy_protect_mini|dry,Advance Veterinary Diets,advance_veterinary_diets,Advance Puppy Protect Mini
advance_veterinary_diets|advance_veterinary_diets_articular_care_light|dry,Advance Veterinary Diets,advance_veterinary_diets,Advance Veterinary Diets Articular Care Light
advance_veterinary_diets|advance_veterinary_diets_articular_care|dry,Advance Veterinary Diets,advance_veterinary_diets,Advance Veterinary Diets Articular Care
advance_veterinary_diets|advance_veterinary_diets_atopic_mini|dry,Advance Veterinary Diets,advance_veterinary_diets,Advance Veterinary Diets Atopic Mini
