aadf_brand_raw,aadf_brand_normalized,aadf_product_name,aadf_form,aadf_key,match_score,exact_key_match,canonical_brand,canonical_product_name,canonical_key,canonical_form
Wilsons,Wilsons,fresh food,unknown,wilsons|fresh_food|unknown,0.0,False,,,,
Ava,Ava,breed health yorkshire terrier,wet,ava|breed_health_yorkshire_terrier|wet,0.0,False,,,,
Essential,Essential,highland living pate,wet,essential|highland_living_pate|wet,0.0,False,,,,
Champers,Champers,,dry,champers||dry,0.0,False,,,,
Country Pursuit,Country Pursuit,maintenance,wet,country_pursuit|maintenance|wet,0.0,False,,,,
Pitpat,PitPat,,wet,pitpat||wet,0.0,False,,,,
Husse,Husse,valp digest,wet,husse|valp_digest|wet,0.0,False,,,,
Huntland,Huntland,grain free,dry,huntland|grain_free|dry,0.0,False,,,,
Purizon,Purizon,cans,wet,purizon|cans|wet,0.0,False,,,,
Hills Science,Hill's,plan 1,wet,hill_s|plan_1|wet,0.0,False,,,,
Barking Heads,Barking Heads,all hounder grain free,dry,barking_heads|all_hounder_grain_free|dry,0.676923076923077,False,Barking Heads,Heads All Hounder Golden Years,barking|heads_all_hounder_golden_years|unknown,dry
Husse,Husse,valp farm,wet,husse|valp_farm|wet,0.0,False,,,,
Heights,Heights,farm extra joint care,dry,heights|farm_extra_joint_care|dry,0.0,False,,,,
Beta,Beta,,wet,beta||wet,0.0,False,,,,
Husse,Husse,digest,wet,husse|digest|wet,0.0,False,,,,
Pets at Home,Pets at Home,complete nutrition,dry,pets_at_home|complete_nutrition|dry,0.0,False,,,,
Mcintyres,McIntyres,cans,wet,mcintyres|cans|wet,0.0,False,,,,
Harringtons,Harringtons,,wet,harringtons||wet,0.0,False,,,,
Arden Grange,Arden Grange,sensitive,wet,arden_grange|sensitive|wet,0.5806451612903226,False,Arden Grange,Grange Sensitive Adult,arden|grange_sensitive_adult|dry,dry
Trophy,Trophy,lifestyle and rice,wet,trophy|lifestyle_and_rice|wet,0.0,False,,,,
Pro Plan,Pro Plan,and mini sensitive skin optiderma,wet,pro_plan|and_mini_sensitive_skin_optiderma|wet,0.0,False,,,,
Concept For,Concept For,life,wet,concept_for|life|wet,0.0,False,,,,
Wolfworthy,Wolfworthy,80 20 oily,wet,wolfworthy|80_20_oily|wet,0.0,False,,,,
Jack,Jack,wolf working dog,unknown,jack|wolf_working_dog|unknown,0.0,False,,,,
Royal Canin,Royal Canin,veterinary diet gastrointestinal,wet,royal_canin|veterinary_diet_gastrointestinal|wet,0.0,False,,,,
Terra,Terra,canis,raw,terra|canis|raw,0.0,False,,,,
Yora,Yora,,dry,yora||dry,0.0,False,,,,
K9,K9,optimum can,wet,k9|optimum_can|wet,0.0,False,,,,
Grace,Grace,authentic,wet,grace|authentic|wet,0.0,False,,,,
Country Pursuit,Country Pursuit,premium,wet,country_pursuit|premium|wet,0.0,False,,,,
Encore,Encore,trays pate,wet,encore|trays_pate|wet,0.0,False,,,,
Coya,Coya,,freeze_dried,coya||freeze_dried,0.0,False,,,,
K9,K9,optimum mini,wet,k9|optimum_mini|wet,0.0,False,,,,
Rawgeous,Rawgeous,standard recipe,unknown,rawgeous|standard_recipe|unknown,0.0,False,,,,
Wainwrights,Wainwrights,complete,freeze_dried,wainwrights|complete|freeze_dried,0.0,False,,,,
Pooch,Pooch & Mutt,and mutt joint care,wet,pooch_mutt|and_mutt_joint_care|wet,0.0,False,,,,
Feelwells,Feelwells,gourmet,wet,feelwells|gourmet|wet,0.0,False,,,,
Canine,Canine,choice,wet,canine|choice|wet,0.0,False,,,,
Yora,Yora,pate,wet,yora|pate|wet,0.0,False,,,,
Pro Plan,Pro Plan,and 7 optiage,wet,pro_plan|and_7_optiage|wet,0.0,False,,,,
Natures Deli,Natures Deli,grain free,wet,natures_deli|grain_free|wet,0.0,False,,,,
Alpha,Alpha,sporting wheat gluten free,wet,alpha|sporting_wheat_gluten_free|wet,0.55,False,Alpha,Feeds Sporting Puppy Chicken  Rice,alpha|feeds_sporting_puppy_chicken__rice|unknown,wet
Husse,Husse,optimal,wet,husse|optimal|wet,0.0,False,,,,
Europa,Europa,80 20 grain free,dry,europa|80_20_grain_free|dry,0.0,False,,,,
Brit,Brit,care grain free,dry,brit|care_grain_free|dry,0.6470588235294118,False,Brit,Brit Care Mini Grain Free Adult Lamb,brit|brit_care_mini_grain_free_adult_lamb|dry,dry
Vetspec,Vetspec,superlite formula,dry,vetspec|superlite_formula|dry,0.0,False,,,,
Josidog,Josidog,sensitive,dry,josidog|sensitive|dry,0.0,False,,,,
Omni,Omni,,dry,omni||dry,0.0,False,,,,
Laughing,Laughing,dog naturally complete dog food,dry,laughing|dog_naturally_complete_dog_food|dry,0.0,False,,,,
Beco,Beco,,wet,beco||wet,0.0,False,,,,
Trophy,Trophy,super premium bite,dry,trophy|super_premium_bite|dry,0.0,False,,,,
Royal Canin,Royal Canin,7,dry,royal_canin|7|dry,0.0,False,,,,
Yora,Yora,,dry,yora||dry,0.0,False,,,,
Wild,Wild,pet food omega 80 20 complete,wet,wild|pet_food_omega_80_20_complete|wet,0.0,False,,,,
Mcadams,McAdams,,dry,mcadams||dry,0.0,False,,,,
Natures Deli,Natures Deli,,dry,natures_deli||dry,0.0,False,,,,
Royal Canin,Royal Canin,west highland white terrier,wet,royal_canin|west_highland_white_terrier|wet,0.0,False,,,,
Lukullus,Lukullus,tins,wet,lukullus|tins|wet,0.0,False,,,,
Bakers,Bakers,,dry,bakers||dry,0.0,False,,,,
Natures Menu,Natures Menu,original nuggets,unknown,natures_menu|original_nuggets|unknown,0.0,False,,,,
Lilys Kitchen,Lilys Kitchen,,wet,lilys_kitchen||wet,0.0,False,,,,
Carnilove,Carnilove,fresh meat,wet,carnilove|fresh_meat|wet,0.0,False,,,,
Natural,Natural,dog food company light,wet,natural|dog_food_company_light|wet,0.0,False,,,,
Flourish,Flourish,grain free working and sporting dog,wet,flourish|grain_free_working_and_sporting_dog|wet,0.0,False,,,,
Ror,ROR,and light,wet,ror|and_light|wet,0.0,False,,,,
Hug,Hug,ready meals,unknown,hug|ready_meals|unknown,0.0,False,,,,
Guru,Guru,top of the crops cold pressed,wet,guru|top_of_the_crops_cold_pressed|wet,0.0,False,,,,
Benyfit,Benyfit,natural sensitive support,unknown,benyfit|natural_sensitive_support|unknown,0.6274509803921569,False,Benyfit,Natural Senior Care Turkey,benyfit|natural_senior_care_turkey|raw,raw
Royal Canin,Royal Canin,jack russell,wet,royal_canin|jack_russell|wet,0.0,False,,,,
Harringtons,Harringtons,advanced science diet,wet,harringtons|advanced_science_diet|wet,0.0,False,,,,
Royal Canin,Royal Canin,bichon frise,wet,royal_canin|bichon_frise|wet,0.0,False,,,,
Winner,Winner,,dry,winner||dry,0.0,False,,,,
Natures Menu,Natures Menu,original dinner,raw,natures_menu|original_dinner|raw,0.0,False,,,,
Brit,Brit,care grain free,dry,brit|care_grain_free|dry,0.6470588235294118,False,Brit,Brit Care Mini Grain Free Adult Lamb,brit|brit_care_mini_grain_free_adult_lamb|dry,dry
Kronch,Kronch,main,dry,kronch|main|dry,0.0,False,,,,
Scrumbles,Scrumbles,and,wet,scrumbles|and|wet,0.0,False,,,,
Trophy,Trophy,standard working dog,dry,trophy|standard_working_dog|dry,0.0,False,,,,
Edgard,Edgard,and cooper trays,wet,edgard|and_cooper_trays|wet,0.0,False,,,,
Ava,Ava,mature,wet,ava|mature|wet,0.0,False,,,,
Naturea,Naturea,wetlands,wet,naturea|wetlands|wet,0.0,False,,,,
Eukanuba,Eukanuba,rich in,dry,eukanuba|rich_in|dry,0.35675675675675683,False,Eukanuba,Adult Golden Retriever Chicken,eukanuba|adult_golden_retriever_chicken|dry,dry
Skinners,Skinners,life,dry,skinners|life|dry,0.0,False,,,,
Natures,Natures,way 50 percent recipes,dry,natures|way_50_percent_recipes|dry,0.0,False,,,,
Eukanuba,Eukanuba,daily care sensitive joints,wet,eukanuba|daily_care_sensitive_joints|wet,0.36363636363636365,False,Eukanuba,Adult Large Breed Lamb  Rice,eukanuba|adult_large_breed_lamb__rice|dry,dry
Farmina Natural,Farmina Natural,and delicious ancestral grain,dry,farmina_natural|and_delicious_ancestral_grain|dry,0.0,False,,,,
Wilko,Wilko,complete,wet,wilko|complete|wet,0.0,False,,,,
Husse,Husse,optimal,wet,husse|optimal|wet,0.0,False,,,,
Millies Wolfheart,Millies Wolfheart,ranger mix,wet,millies_wolfheart|ranger_mix|wet,0.0,False,,,,
Leader,Leader,supreme,wet,leader|supreme|wet,0.0,False,,,,
Walker,Walker,and drake food,dry,walker|and_drake_food|dry,0.0,False,,,,
Harringtons,Harringtons,grain free tins,wet,harringtons|grain_free_tins|wet,0.0,False,,,,
Wagg,Wagg,wheat free,dry,wagg|wheat_free|dry,0.0,False,,,,
Piccolo,Piccolo,light smaller dogs,dry,piccolo|light_smaller_dogs|dry,0.0,False,,,,
Lifelong,Lifelong,grain free for breeds,dry,lifelong|grain_free_for_breeds|dry,0.0,False,,,,
Hills,Hills,prescription diet gastrointestinal biome,wet,hills|prescription_diet_gastrointestinal_biome|wet,0.0,False,,,,
Butchers,Butchers,joints and coat can,wet,butchers|joints_and_coat_can|wet,0.75,False,Butchers,Joints  Coats,butchers|joints__coats|unknown,dry
Hills,Hills,prescription diet l d,dry,hills|prescription_diet_l_d|dry,0.0,False,,,,
Barkin,Barkin,bistro cooked,unknown,barkin|bistro_cooked|unknown,0.0,False,,,,
Royal Canin,Royal Canin,,wet,royal_canin||wet,0.0,False,,,,
Almo,Almo,nature holistic,dry,almo|nature_holistic|dry,0.5454545454545454,False,Almo,Nature Holistic Puppy With Fresh Chicken,almo|nature_holistic_puppy_with_fresh_chicken|unknown,wet
Royal Canin,Royal Canin,beagle,wet,royal_canin|beagle|wet,0.0,False,,,,
Eukanuba,Eukanuba,daily care overweight sterilized,wet,eukanuba|daily_care_overweight_sterilized|wet,0.43333333333333335,False,Eukanuba,Adult Large Breed Lamb  Rice,eukanuba|adult_large_breed_lamb__rice|dry,dry
Benyfit,Benyfit,natural,unknown,benyfit|natural|unknown,0.5384615384615384,False,Benyfit,Natural Beef  Tripe,benyfit|natural_beef__tripe|raw,raw
Heights,Heights,farm dietaryplus weight control formula,wet,heights|farm_dietaryplus_weight_control_formula|wet,0.0,False,,,,
Royal Canin,Royal Canin,x,wet,royal_canin|x|wet,0.0,False,,,,
