aadf_brand_raw,aadf_brand_normalized,aadf_product_name,aadf_form,aadf_key,match_score,exact_key_match,canonical_brand,canonical_product_name,canonical_key,canonical_form
Eukanuba,Eukanuba,natureplus grain free and,dry,eukanuba|natureplus_grain_free_and|dry,0.4150943396226416,False,Eukanuba,Adult Large Breed Lamb  Rice,eukanuba|adult_large_breed_lamb__rice|dry,dry
Virbac,Virbac,veterinary hpm neutered dog and toy,wet,virbac|veterinary_hpm_neutered_dog_and_toy|wet,0.0,False,,,,
Alpha Spirit,Alpha Spirit,complete pouch,wet,alpha_spirit|complete_pouch|wet,0.19607843137254902,False,Alpha Spirit,Alpha Spirit 7 Days Formula (Semi-Moist),alpha_spirit|alpha_spirit_7_days_formula_(semi-moist)|dry,dry
Pedigree,Pedigree,light,wet,pedigree|light|wet,0.0,False,,,,
CSJ,CSJ,old champ,dry,csj|old_champ|dry,0.0,False,,,,
Techni,Techni,cal lifestages and weight control,wet,techni|cal_lifestages_and_weight_control|wet,0.0,False,,,,
Canine,Canine,choice premium,wet,canine|choice_premium|wet,0.0,False,,,,
Pooch,Pooch & Mutt,and mutt renal,dry,pooch_mutt|and_mutt_renal|dry,0.0,False,,,,
Nutriment,Nutriment,recovery support,wet,nutriment|recovery_support|wet,0.0,False,,,,
Eukanuba,Eukanuba,growing,wet,eukanuba|growing|wet,0.23076923076923078,False,Eukanuba,Adult Boxer Chicken,eukanuba|adult_boxer_chicken|dry,dry
Symply,Symply,light,dry,symply|light|dry,0.0,False,,,,
Rinti,Rinti,tins,wet,rinti|tins|wet,0.0,False,,,,
Briantos,Briantos,,wet,briantos||wet,0.0,False,,,,
Green,Green,petfood insectdog,wet,green|petfood_insectdog|wet,0.0,False,,,,
Nutriment,Nutriment,kidney support,wet,nutriment|kidney_support|wet,0.0,False,,,,
Butchers,Butchers,healthy heart foil,wet,butchers|healthy_heart_foil|wet,0.3870967741935484,False,Butchers,Simply Gentle,butchers|simply_gentle|unknown,dry
Markus,Markus,muehle black angus,dry,markus|muehle_black_angus|dry,0.0,False,,,,
Iams,Iams,advanced nutrition and,wet,iams|advanced_nutrition_and|wet,0.0,False,,,,
Cobbydog,Cobbydog,supper cold pressed,wet,cobbydog|supper_cold_pressed|wet,0.0,False,,,,
Alpha Spirit,Alpha Spirit,mediterranean diet sausage iberian pork,raw,alpha_spirit|mediterranean_diet_sausage_iberian_pork|raw,0.18421052631578946,False,Alpha Spirit,Alpha Spirit 7 Days Formula (Semi-Moist),alpha_spirit|alpha_spirit_7_days_formula_(semi-moist)|dry,dry
Ror,ROR,,unknown,ror||unknown,0.0,False,,,,
Beta,Beta,,wet,beta||wet,0.0,False,,,,
Sausage,Sausage,dog sanctuary food grain free,dry,sausage|dog_sanctuary_food_grain_free|dry,0.0,False,,,,
Burgess,Burgess,supadog originals,wet,burgess|supadog_originals|wet,0.631578947368421,False,Burgess,Supadog Chicken Adult,burgess|supadog_chicken_adult|unknown,dry
Wellness,Wellness,core,wet,wellness|core|wet,0.0,False,,,,
Benevo,Benevo,original,wet,benevo|original|wet,0.7272727272727273,False,Benevo,Adult Original,benevo|adult_original|dry,dry
Royal Canin,Royal Canin,maxi,wet,royal_canin|maxi|wet,0.0,False,,,,
Canidae,Canidae,pure foundations formula,wet,canidae|pure_foundations_formula|wet,0.0,False,,,,
Country,Country,value,wet,country|value|wet,0.0,False,,,,
Collards,Collards,and potato,wet,collards|and_potato|wet,0.0,False,,,,
Eukanuba,Eukanuba,all breeds,wet,eukanuba|all_breeds|wet,0.47368421052631576,False,Eukanuba,Adult Large Breed Lamb  Rice,eukanuba|adult_large_breed_lamb__rice|dry,dry
Lifelong,Lifelong,grain free for breeds,dry,lifelong|grain_free_for_breeds|dry,0.0,False,,,,
Brit,Brit,premium by nature,wet,brit|premium_by_nature|wet,0.7555555555555555,False,Brit,Brit Premium by Nature Light,brit|brit_premium_by_nature_light|dry,dry
Hills Science,Hill's,plan 1 sensitive stomach and skin and mini,wet,hill_s|plan_1_sensitive_stomach_and_skin_and_mini|wet,0.0,False,,,,
Orlando,Orlando,natural complete,wet,orlando|natural_complete|wet,0.0,False,,,,
Freshpet,Freshpet,select bags grain free,unknown,freshpet|select_bags_grain_free|unknown,0.0,False,,,,
Primal,Primal,spirit complete wilderness,dry,primal|spirit_complete_wilderness|dry,0.0,False,,,,
Terra,Terra,canis,wet,terra|canis|wet,0.0,False,,,,
Ava,Ava,breed health boxer,wet,ava|breed_health_boxer|wet,0.0,False,,,,
Ci,Ci,tickety boo,dry,ci|tickety_boo|dry,0.0,False,,,,
Canagan,Canagan,tins,wet,canagan|tins|wet,0.6,False,Canagan,Insect,canagan|insect|dry,dry
Millies Wolfheart,Millies Wolfheart,gamekeepers mix,dry,millies_wolfheart|gamekeepers_mix|dry,0.0,False,,,,
Ava,Ava,,wet,ava||wet,0.0,False,,,,
Gentle,Gentle,,dry,gentle||dry,0.0,False,,,,
Wellness,Wellness,core,wet,wellness|core|wet,0.0,False,,,,
Ava,Ava,sensitive skin and stomach,wet,ava|sensitive_skin_and_stomach|wet,0.0,False,,,,
Naturo,Naturo,grain free,dry,naturo|grain_free|dry,0.0,False,,,,
Natures Menu,Natures Menu,original nuggets,unknown,natures_menu|original_nuggets|unknown,0.0,False,,,,
Little,Little,bigpaw naturally delicious,wet,little|bigpaw_naturally_delicious|wet,0.0,False,,,,
Simpsons,Simpsons,premium 8020,wet,simpsons|premium_8020|wet,0.0,False,,,,
Barking Heads,Barking Heads,,dry,barking_heads||dry,0.0,False,,,,
Royal Canin,Royal Canin,cavalier king charles,wet,royal_canin|cavalier_king_charles|wet,0.0,False,,,,
Huntland,Huntland,grain free,dry,huntland|grain_free|dry,0.0,False,,,,
Barkin,Barkin,bistro surf and turf,raw,barkin|bistro_surf_and_turf|raw,0.0,False,,,,
Wilsons,Wilsons,fresh food,unknown,wilsons|fresh_food|unknown,0.0,False,,,,
Hills Science,Hill's,plan 1 and mini,dry,hill_s|plan_1_and_mini|dry,0.0,False,,,,
CSJ,CSJ,little champ,dry,csj|little_champ|dry,0.0,False,,,,
Brit,Brit,care hypoallergenic,wet,brit|care_hypoallergenic|wet,0.5846153846153846,False,Brit,Brit Care Dog Hypoallergenic Senior Lamb & Rice,brit|brit_care_dog_hypoallergenic_senior_lamb_&_rice|dry,dry
Burns,Burns,grain free,dry,burns|grain_free|dry,0.5641025641025641,False,Burns,Adult Grain Free Duck  Potato,burns|adult_grain_free_duck__potato|dry,dry
Forthglade,Forthglade,lightly baked,dry,forthglade|lightly_baked|dry,0.34375,False,Forthglade,Salmon Cold Pressed,forthglade|salmon_cold_pressed|unknown,dry
Harringtons,Harringtons,light,wet,harringtons|light|wet,0.0,False,,,,
Wainwrights,Wainwrights,mature,wet,wainwrights|mature|wet,0.0,False,,,,
Pooch,Pooch & Mutt,and mutt foods,wet,pooch_mutt|and_mutt_foods|wet,0.0,False,,,,
Ydolo,Ydolo,,dry,ydolo||dry,0.0,False,,,,
Terra,Terra,canis hypoallergenic,wet,terra|canis_hypoallergenic|wet,0.0,False,,,,
Nutrivet,Nutrivet,instinct regional meat farmer,wet,nutrivet|instinct_regional_meat_farmer|wet,0.0,False,,,,
Primal,Primal,spirit iberian complete,wet,primal|spirit_iberian_complete|wet,0.0,False,,,,
Forza10,Forza10,bio everyday,dry,forza10|bio_everyday|dry,0.0,False,,,,
Canine,Canine,choice premium,wet,canine|choice_premium|wet,0.0,False,,,,
Heights,Heights,farm extra joint care grain free,wet,heights|farm_extra_joint_care_grain_free|wet,0.0,False,,,,
Butchers,Butchers,tripe mix gb label,wet,butchers|tripe_mix_gb_label|wet,0.43137254901960786,False,Butchers,Grain Free Adult Recipes In Gravy,butchers|grain_free_adult_recipes_in_gravy|unknown,wet
CSJ,CSJ,fit n fast,dry,csj|fit_n_fast|dry,0.0,False,,,,
Royal Canin,Royal Canin,labrador retriever,wet,royal_canin|labrador_retriever|wet,0.0,False,,,,
Edgard,Edgard,and cooper bio organic cups,wet,edgard|and_cooper_bio_organic_cups|wet,0.0,False,,,,
Wainwrights,Wainwrights,grain free,wet,wainwrights|grain_free|wet,0.0,False,,,,
Chudleys,Chudleys,lite,wet,chudleys|lite|wet,0.0,False,,,,
Animonda,Animonda,integra protect sensitive,dry,animonda|integra_protect_sensitive|dry,0.48125000000000007,False,Animonda,animonda GranCarno Senior Poultry & Beef,animonda|animonda_grancarno_senior_poultry_&_beef|dry,dry
Natures Deli,Natures Deli,grain free,wet,natures_deli|grain_free|wet,0.0,False,,,,
Angell,Angell,superior,wet,angell|superior|wet,0.47058823529411764,False,Angell,PetCo Superior Maintenance,angell|petco_superior_maintenance|unknown,dry
James,James,and ella,freeze_dried,james|and_ella|freeze_dried,0.0,False,,,,
Growling,Growling,tums,wet,growling|tums|wet,0.0,False,,,,
Rude,Rude,dog food,wet,rude|dog_food|wet,0.0,False,,,,
Eden,Eden,sporting and working,wet,eden|sporting_and_working|wet,0.0,False,,,,
Hills Science,Hill's,plan 1 healthy mobility,wet,hill_s|plan_1_healthy_mobility|wet,0.0,False,,,,
Leader,Leader,sensitive,wet,leader|sensitive|wet,0.0,False,,,,
Bosch,Bosch,,wet,bosch||wet,0.0,False,,,,
Nutribalance,Nutribalance,and,wet,nutribalance|and|wet,0.0,False,,,,
Alpha Spirit,Alpha Spirit,complete meatballs,wet,alpha_spirit|complete_meatballs|wet,0.14545454545454545,False,Alpha Spirit,Alpha Spirit 7 Days Formula (Semi-Moist),alpha_spirit|alpha_spirit_7_days_formula_(semi-moist)|dry,dry
Butchers,Butchers,tripe loaf recipes can,wet,butchers|tripe_loaf_recipes_can|wet,0.631578947368421,False,Butchers,Grain Free Adult Tripe Loaf Recipes,butchers|grain_free_adult_tripe_loaf_recipes|unknown,dry
Natural,Natural,instinct weaning paste,wet,natural|instinct_weaning_paste|wet,0.0,False,,,,
Natures,Natures,way light mature recipe,dry,natures|way_light_mature_recipe|dry,0.0,False,,,,
Wonderdog,Wonderdog,grain free white,wet,wonderdog|grain_free_white|wet,0.0,False,,,,
Naked,Naked,dog active,unknown,naked|dog_active|unknown,0.0,False,,,,
Tails,Tails,com foods,wet,tails|com_foods|wet,0.0,False,,,,
Lovejoys,Lovejoys,hearty and wholesome,wet,lovejoys|hearty_and_wholesome|wet,0.0,False,,,,
Nutriwolds,Nutriwolds,complete,raw,nutriwolds|complete|raw,0.0,False,,,,
Ava,Ava,mature,wet,ava|mature|wet,0.0,False,,,,
Royal Canin,Royal Canin,french bulldog,wet,royal_canin|french_bulldog|wet,0.0,False,,,,
Essential,Essential,kingdom living pate,wet,essential|kingdom_living_pate|wet,0.0,False,,,,
Virbac,Virbac,veterinary hpm baby and toy,wet,virbac|veterinary_hpm_baby_and_toy|wet,0.0,False,,,,
Eukanuba,Eukanuba,rich in and rice,dry,eukanuba|rich_in_and_rice|dry,0.45000000000000007,False,Eukanuba,Adult Large Breed Lamb  Rice,eukanuba|adult_large_breed_lamb__rice|dry,dry
Royal Canin,Royal Canin,maxi starter,wet,royal_canin|maxi_starter|wet,0.0,False,,,,
Skinners,Skinners,life sensitive,wet,skinners|life_sensitive|wet,0.0,False,,,,
Eukanuba,Eukanuba,active,wet,eukanuba|active|wet,0.32,False,Eukanuba,Adult Boxer Chicken,eukanuba|adult_boxer_chicken|dry,dry
Chudleys,Chudleys,classic,dry,chudleys|classic|dry,0.0,False,,,,
Heights,Heights,farm extra joint care,wet,heights|farm_extra_joint_care|wet,0.0,False,,,,
Collards,Collards,tray older overweight,wet,collards|tray_older_overweight|wet,0.0,False,,,,
Farmina Natural,Farmina Natural,and delicious pumpkin and maxi,dry,farmina_natural|and_delicious_pumpkin_and_maxi|dry,0.0,False,,,,
James Wellbeloved,James Wellbeloved,high protein,dry,james_wellbeloved|high_protein|dry,0.0,False,,,,
Denes,Denes,natural and delicious,wet,denes|natural_and_delicious|wet,0.0,False,,,,
Pro Plan,Pro Plan,robust optibalance,dry,pro_plan|robust_optibalance|dry,0.0,False,,,,
Pero,Pero,organic dog food,dry,pero|organic_dog_food|dry,0.0,False,,,,
Albion,Albion,complete,unknown,albion|complete|unknown,0.0,False,,,,
Hills Science,Hill's,plan mature 7 youthful vitality and mini,dry,hill_s|plan_mature_7_youthful_vitality_and_mini|dry,0.0,False,,,,
Billy,Billy,and margot,dry,billy|and_margot|dry,0.35675675675675683,False,Billy,Margot Lamb Superfood Blend,billy|margot_lamb_superfood_blend|dry,dry
Natures,Natures,way grain free and dog,wet,natures|way_grain_free_and_dog|wet,0.0,False,,,,
Tilly,Tilly,and ted,wet,tilly|and_ted|wet,0.0,False,,,,
Royal Canin,Royal Canin,dalmatian,wet,royal_canin|dalmatian|wet,0.0,False,,,,
Pets at Home,Pets at Home,complete nutrition in gravy,wet,pets_at_home|complete_nutrition_in_gravy|wet,0.0,False,,,,
Wainwrights,Wainwrights,pouches,wet,wainwrights|pouches|wet,0.0,False,,,,
Edgard,Edgard,and cooper kibble,dry,edgard|and_cooper_kibble|dry,0.0,False,,,,
Skinners,Skinners,field and trial working 26,dry,skinners|field_and_trial_working_26|dry,0.0,False,,,,
Laughing,Laughing,dog grain free complete,wet,laughing|dog_grain_free_complete|wet,0.0,False,,,,
Growling,Growling,tums,dry,growling|tums|dry,0.0,False,,,,
Billy,Billy,and margot pouches,raw,billy|and_margot_pouches|raw,0.48148148148148145,False,Billy,Margot Puppy Chicken Superfood Blend,billy|margot_puppy_chicken_superfood_blend|dry,dry
Green,Green,pantry mobility,wet,green|pantry_mobility|wet,0.0,False,,,,
Wolf,Wolf,tucker primal complete meals,wet,wolf|tucker_primal_complete_meals|wet,0.0,False,,,,
James Wellbeloved,James Wellbeloved,,wet,james_wellbeloved||wet,0.0,False,,,,
Lilys Kitchen,Lilys Kitchen,organic bake,wet,lilys_kitchen|organic_bake|wet,0.0,False,,,,
Bonacibo,Bonacibo,can,wet,bonacibo|can|wet,0.0,False,,,,
Josera,Josera,kids,wet,josera|kids|wet,0.0,False,,,,
Alpha Spirit,Alpha Spirit,mediterranean diet sausage poultry,raw,alpha_spirit|mediterranean_diet_sausage_poultry|raw,0.22535211267605634,False,Alpha Spirit,Alpha Spirit 7 Days Formula (Semi-Moist),alpha_spirit|alpha_spirit_7_days_formula_(semi-moist)|dry,dry
Cotswold,Cotswold,,unknown,cotswold||unknown,0.0,False,,,,
Waitrose,Waitrose,grain free,dry,waitrose|grain_free|dry,0.0,False,,,,
Almo,Almo,nature holistic,dry,almo|nature_holistic|dry,0.5454545454545454,False,Almo,Nature Holistic Puppy With Fresh Chicken,almo|nature_holistic_puppy_with_fresh_chicken|unknown,wet
Hills,Hills,prescription diet metabolic weight management cans,wet,hills|prescription_diet_metabolic_weight_management_cans|wet,0.0,False,,,,
Vitalin,Vitalin,,wet,vitalin||wet,0.0,False,,,,
Acana,Acana,recipe,raw,acana|recipe|raw,0.6666666666666666,False,Acana,Puppy Recipe,acana|puppy_recipe|dry,dry
Husse,Husse,optimal light,wet,husse|optimal_light|wet,0.0,False,,,,
Luna,Luna,and me superblends seniors club,raw,luna|and_me_superblends_seniors_club|raw,0.0,False,,,,
CSJ,CSJ,complete tripe,dry,csj|complete_tripe|dry,0.0,False,,,,
Wildways,Wildways,,wet,wildways||wet,0.0,False,,,,
Tesco,Tesco,complete and balanced nutrition,wet,tesco|complete_and_balanced_nutrition|wet,0.0,False,,,,
Royal Canin,Royal Canin,german shepherd,wet,royal_canin|german_shepherd|wet,0.0,False,,,,
Dachshund,Dachshund,superfood light,dry,dachshund|superfood_light|dry,0.55,False,Dachshund,Superfood Free Range Turkey Adult,dachshund|superfood_free_range_turkey_adult|unknown,dry
Husse,Husse,opus ocean,wet,husse|opus_ocean|wet,0.0,False,,,,
Naturaw,Naturaw,forage,unknown,naturaw|forage|unknown,0.0,False,,,,
Buddy,Buddy,grass fed sensitive,dry,buddy|grass_fed_sensitive|dry,0.5238095238095238,False,Buddy,Pet Food Grass Fed Lamb,buddy|pet_food_grass_fed_lamb|unknown,dry
Alpha,Alpha,sensitive,dry,alpha|sensitive|dry,0.5210526315789474,False,Alpha,Feeds Sensitive Chicken  Rice,alpha|feeds_sensitive_chicken__rice|unknown,dry
Virbac,Virbac,veterinary hpm neutered dog and,wet,virbac|veterinary_hpm_neutered_dog_and|wet,0.0,False,,,,
Lifestage,Lifestage,grain free,wet,lifestage|grain_free|wet,0.0,False,,,,
Bob and Lush,Bob & Lush,light and tasty,wet,bob_lush|light_and_tasty|wet,0.0,False,,,,
More,More,,dry,more||dry,0.0,False,,,,
Cobbydog,Cobbydog,grain free,wet,cobbydog|grain_free|wet,0.0,False,,,,
Bosch,Bosch,light,wet,bosch|light|wet,1.0,False,Bosch,Light,bosch|light|unknown,dry
Lecker,Lecker,bites gourmet meal,freeze_dried,lecker|bites_gourmet_meal|freeze_dried,0.0,False,,,,
Mcadams,McAdams,foods,wet,mcadams|foods|wet,0.0,False,,,,
Barking Heads,Barking Heads,,wet,barking_heads||wet,0.0,False,,,,
Denes,Denes,tins,wet,denes|tins|wet,0.0,False,,,,
Hills Science,Hill's,plan 1 6 and mini with and rice,dry,hill_s|plan_1_6_and_mini_with_and_rice|dry,0.0,False,,,,
Alpha Spirit,Alpha Spirit,imperial sausage iberian pork,wet,alpha_spirit|imperial_sausage_iberian_pork|wet,0.12121212121212122,False,Alpha Spirit,Alpha Spirit 7 Days Formula (Semi-Moist),alpha_spirit|alpha_spirit_7_days_formula_(semi-moist)|dry,dry
Husse,Husse,ocean care mini,wet,husse|ocean_care_mini|wet,0.0,False,,,,
Salters,Salters,,wet,salters||wet,0.0,False,,,,
Royal Canin,Royal Canin,mini dermacomfort,wet,royal_canin|mini_dermacomfort|wet,0.0,False,,,,
Farmina Natural,Farmina Natural,and delicious mini,dry,farmina_natural|and_delicious_mini|dry,0.0,False,,,,
Kronch,Kronch,active,raw,kronch|active|raw,0.0,False,,,,
Sainsburys,Sainsburys,complete nutrition,dry,sainsburys|complete_nutrition|dry,0.0,False,,,,
Wilko,Wilko,natures best,dry,wilko|natures_best|dry,0.0,False,,,,
Almo,Almo,nature holistic,wet,almo|nature_holistic|wet,0.6,False,Almo,Nature Holistic Puppy With Fresh Chicken,almo|nature_holistic_puppy_with_fresh_chicken|unknown,wet
Burgess,Burgess,supadog active,wet,burgess|supadog_active|wet,0.6486486486486487,False,Burgess,Supadog Adult with Beef,burgess|supadog_adult_with_beef|unknown,dry
Vitalin,Vitalin,royale,dry,vitalin|royale|dry,0.0,False,,,,
Cooper,Cooper,and co,wet,cooper|and_co|wet,0.0,False,,,,
Pure,Pure,pet food,freeze_dried,pure|pet_food|freeze_dried,0.0,False,,,,
Morrisons,Morrisons,natural complete wheat free,dry,morrisons|natural_complete_wheat_free|dry,0.0,False,,,,
Essential,Essential,nautical living pate,wet,essential|nautical_living_pate|wet,0.0,False,,,,
Nutriment,Nutriment,,wet,nutriment||wet,0.0,False,,,,
Earls,Earls,tender pate,wet,earls|tender_pate|wet,0.0,False,,,,
Wolf of Wilderness,Wolf of Wilderness,tins,wet,wolf_of_wilderness|tins|wet,0.0,False,,,,
Husse,Husse,sterilised,wet,husse|sterilised|wet,0.0,False,,,,
Trophy,Trophy,super premium grain free,wet,trophy|super_premium_grain_free|wet,0.0,False,,,,
Natures,Natures,harvest cold pressed,raw,natures|harvest_cold_pressed|raw,0.0,False,,,,
Burns,Burns,original and rice,dry,burns|original_and_rice|dry,0.8380952380952381,False,Burns,Original Lamb  Brown Rice,burns|original_lamb__brown_rice|dry,dry
Symply,Symply,fuel,dry,symply|fuel|dry,0.0,False,,,,
Royal Canin,Royal Canin,veterinary diet hepatic,wet,royal_canin|veterinary_diet_hepatic|wet,0.0,False,,,,
Engage,Engage,with rice,wet,engage|with_rice|wet,0.0,False,,,,
Bonacibo,Bonacibo,dog,dry,bonacibo|dog|dry,0.0,False,,,,
Platinum,Platinum,vetactive sensitive,raw,platinum|vetactive_sensitive|raw,0.0,False,,,,
Lifestage,Lifestage,dog grain free,wet,lifestage|dog_grain_free|wet,0.0,False,,,,
Husse,Husse,ocean care,wet,husse|ocean_care|wet,0.0,False,,,,
Wildpack,WildPack,,unknown,wildpack||unknown,0.0,False,,,,
Wildways,Wildways,,wet,wildways||wet,0.0,False,,,,
Royal Canin,Royal Canin,x 8,wet,royal_canin|x_8|wet,0.0,False,,,,
Eden,Eden,semi moist,wet,eden|semi_moist|wet,0.0,False,,,,
Healthy,Healthy,paws light,wet,healthy|paws_light|wet,0.0,False,,,,
Pero,Pero,super sensitive and grain free,dry,pero|super_sensitive_and_grain_free|dry,0.0,False,,,,
Golden,Golden,eagle and,dry,golden|eagle_and|dry,0.0,False,,,,
Arden Grange,Arden Grange,premium,wet,arden_grange|premium|wet,0.34146341463414637,False,Arden Grange,Grange Adult Premium Chicken  Rice,arden|grange_adult_premium_chicken__rice|dry,dry
Lifelong,Lifelong,grain free for and breeds,dry,lifelong|grain_free_for_and_breeds|dry,0.0,False,,,,
Denes,Denes,options healthy skin,wet,denes|options_healthy_skin|wet,0.0,False,,,,
Clinivet,Clinivet,,wet,clinivet||wet,0.0,False,,,,
Pooch,Pooch & Mutt,and mutt sensitivity,dry,pooch_mutt|and_mutt_sensitivity|dry,0.0,False,,,,
Lupo,Lupo,sensitive 24 10,wet,lupo|sensitive_24_10|wet,0.0,False,,,,
Devini,Devini,,wet,devini||wet,0.0,False,,,,
Royal Canin,Royal Canin,hypoallergenic,wet,royal_canin|hypoallergenic|wet,0.0,False,,,,
Dachshund,Dachshund,superfood,dry,dachshund|superfood|dry,0.4714285714285714,False,Dachshund,Superfood Free Range Turkey Adult,dachshund|superfood_free_range_turkey_adult|unknown,dry
Pro Plan,Pro Plan,robust optistart,wet,pro_plan|robust_optistart|wet,0.0,False,,,,
Salters,Salters,energy,dry,salters|energy|dry,0.0,False,,,,
Lifestage,Lifestage,grain free,dry,lifestage|grain_free|dry,0.0,False,,,,
Wainwrights,Wainwrights,light,dry,wainwrights|light|dry,0.0,False,,,,
Vetspec,Vetspec,omega 3 joint mobility formula,wet,vetspec|omega_3_joint_mobility_formula|wet,0.0,False,,,,
Wolf of Wilderness,Wolf of Wilderness,the taste of,wet,wolf_of_wilderness|the_taste_of|wet,0.0,False,,,,
Ziwi,Ziwi,peak tins,wet,ziwi|peak_tins|wet,0.0,False,,,,
Barking Heads,Barking Heads,golden years,wet,barking_heads|golden_years|wet,0.7764705882352942,False,Barking Heads,Heads Golden Years Wet,barking|heads_golden_years_wet|wet,wet
Guru,Guru,surf and turf,wet,guru|surf_and_turf|wet,0.0,False,,,,
Dachshund,Dachshund,superfood all life stages,dry,dachshund|superfood_all_life_stages|dry,0.6068965517241379,False,Dachshund,Superfood Free Range Turkey Adult,dachshund|superfood_free_range_turkey_adult|unknown,dry
Fish4Dogs,Fish4Dogs,superior complete bite,wet,fish4dogs|superior_complete_bite|wet,0.0,False,,,,
Lilys Kitchen,Lilys Kitchen,breakfast crunch,dry,lilys_kitchen|breakfast_crunch|dry,0.0,False,,,,
Natures Menu,Natures Menu,original pouches,wet,natures_menu|original_pouches|wet,0.0,False,,,,
Lilys Kitchen,Lilys Kitchen,dogs,dry,lilys_kitchen|dogs|dry,0.0,False,,,,
Husse,Husse,light chunks in gravy,wet,husse|light_chunks_in_gravy|wet,0.0,False,,,,
Alpha Spirit,Alpha Spirit,complete canned,raw,alpha_spirit|complete_canned|raw,0.19230769230769232,False,Alpha Spirit,Alpha Spirit 7 Days Formula (Semi-Moist),alpha_spirit|alpha_spirit_7_days_formula_(semi-moist)|dry,dry
Lukullus,Lukullus,pouches grain free,wet,lukullus|pouches_grain_free|wet,0.0,False,,,,
Terra,Terra,canis grain free,wet,terra|canis_grain_free|wet,0.0,False,,,,
Ydolo,Ydolo,,wet,ydolo||wet,0.0,False,,,,
Essential,Essential,older pate,wet,essential|older_pate|wet,0.0,False,,,,
Ava,Ava,,wet,ava||wet,0.0,False,,,,
Beta,Beta,,dry,beta||dry,0.0,False,,,,
Natures Deli,Natures Deli,light,wet,natures_deli|light|wet,0.0,False,,,,
Eden,Eden,gourmet,wet,eden|gourmet|wet,0.0,False,,,,
Ava,Ava,,wet,ava||wet,0.0,False,,,,
Yarrah,Yarrah,,dry,yarrah||dry,0.0,False,,,,
Denes,Denes,options sensitive digestion,wet,denes|options_sensitive_digestion|wet,0.0,False,,,,
Billy,Billy,and margot superfood,unknown,billy|and_margot_superfood|unknown,0.6808510638297872,False,Billy,Margot Lamb Superfood Blend,billy|margot_lamb_superfood_blend|dry,dry
Rocco,Rocco,world tour,wet,rocco|world_tour|wet,0.0,False,,,,
Skippers,Skippers,ocean grain free,wet,skippers|ocean_grain_free|wet,0.0,False,,,,
Wildpack,WildPack,,unknown,wildpack||unknown,0.0,False,,,,
Harringtons,Harringtons,grain free trays,wet,harringtons|grain_free_trays|wet,0.0,False,,,,
Billy,Billy,and margot cans,raw,billy|and_margot_cans|raw,0.45454545454545453,False,Billy,Margot Salmon Superfood Blend,billy|margot_salmon_superfood_blend|dry,dry
Essential,Essential,the beginning pate,wet,essential|the_beginning_pate|wet,0.0,False,,,,
Natures,Natures,variety selected,dry,natures|variety_selected|dry,0.0,False,,,,
Naturea,Naturea,regional,wet,naturea|regional|wet,0.0,False,,,,
Natural,Natural,greatness complete,wet,natural|greatness_complete|wet,0.0,False,,,,
Fish4Dogs,Fish4Dogs,superior weight control,wet,fish4dogs|superior_weight_control|wet,0.0,False,,,,
Natural,Natural,greatness ultra premium,wet,natural|greatness_ultra_premium|wet,0.0,False,,,,
Trophy,Trophy,premium maintenance,dry,trophy|premium_maintenance|dry,0.0,False,,,,
Mcadams,McAdams,,dry,mcadams||dry,0.0,False,,,,
Naturea,Naturea,light and,wet,naturea|light_and|wet,0.0,False,,,,
Acana,Acana,recipe,raw,acana|recipe|raw,0.6666666666666666,False,Acana,Puppy Recipe,acana|puppy_recipe|dry,dry
K9,K9,optimum grain free,wet,k9|optimum_grain_free|wet,0.0,False,,,,
Icepaw,Icepaw,pure 24 12,dry,icepaw|pure_24_12|dry,0.0,False,,,,
Ci,Ci,tickety boo,wet,ci|tickety_boo|wet,0.0,False,,,,
Autarky,Autarky,,dry,autarky||dry,0.0,False,,,,
Burgess,Burgess,sensitive,wet,burgess|sensitive|wet,0.75,False,Burgess,Sensitive Puppy,burgess|sensitive_puppy|unknown,dry
Omni,Omni,,wet,omni||wet,0.0,False,,,,
Able,Able,,unknown,able||unknown,0.0,False,,,,
Seven,Seven,grain free,wet,seven|grain_free|wet,0.0,False,,,,
Collards,Collards,can food,wet,collards|can_food|wet,0.0,False,,,,
Cotswold,Cotswold,active 80 20 wild,unknown,cotswold|active_80_20_wild|unknown,0.19047619047619047,False,Cotswold,Pet Supplies Fallons Small Bite Salmon  Potato,cotswold|pet_supplies_fallons_small_bite_salmon__potato|unknown,dry
Encore,Encore,tins pate,wet,encore|tins_pate|wet,0.0,False,,,,
Lukullus,Lukullus,naturkost,dry,lukullus|naturkost|dry,0.0,False,,,,
Royal Canin,Royal Canin,labrador retriever,wet,royal_canin|labrador_retriever|wet,0.0,False,,,,
Step,Step,up,dry,step|up|dry,0.0,False,,,,
Iams,Iams,advanced nutrition and,dry,iams|advanced_nutrition_and|dry,0.0,False,,,,
CSJ,CSJ,command performance 24 active,dry,csj|command_performance_24_active|dry,0.0,False,,,,
Collards,Collards,older overweight and rice,dry,collards|older_overweight_and_rice|dry,0.0,False,,,,
Canidae,Canidae,pure sky,wet,canidae|pure_sky|wet,0.0,False,,,,
Yora,Yora,light,dry,yora|light|dry,0.0,False,,,,
Wonderdog,Wonderdog,resting mix,wet,wonderdog|resting_mix|wet,0.0,False,,,,
