product_key,brand,brand_slug,brand_family,product_name,name_slug,form,life_stage,kcal_per_100g,protein_percent,fat_percent,fiber_percent,ash_percent,moisture_percent,ingredients_raw,ingredients_tokens,price_per_kg_eur,price_bucket,available_countries,sources,product_url,staging_source,staging_confidence
21_21_3bc446,21 21,21_21,21,21 21 people have viewed this product in the last 30 days K9 Optimum Medium/Maxi Senior Type: Complete Dry extruded Breeds: Large & giant breeds Ages: From 8 years to old age RRP: 12kg bags = £40.00,21-21-people-have-viewed-this-product-in-the-last-30-days-k9-optimum-medium-maxi-senior-type-complet,dry,senior,,,,,,,"Chicken Freshly Prepared (20%), Chicken Dried (17%), Rice, Maize, Chicken Fat, Chicken Gravy, Salmon Freshly Prepared (4%), Whole Oats, Beet Pulp, Prairie Meal, Brewers Yeast, Egg Powder, Minerals, Salmon Oil, Turmeric, Marigold, Mannan Oligosaccharides, Fructo Oligosaccharides, Glucosamine, MSM, Yucca Schidigera, Blackcurrant, Green Lipped Mussel, Rosemary, Pomegranate.","[""Chicken Freshly Prepared (20%)"", ""Chicken Dried (17%)"", ""Rice"", ""Maize"", ""Chicken Fat"", ""Chicken Gravy"", ""Salmon Freshly Prepared (4%)"", ""Whole Oats"", ""Beet Pulp"", ""Prairie Meal"", ""Brewers Yeast"", ""Egg Powder"", ""Minerals"", ""Salmon Oil"", ""Turmeric"", ""Marigold"", ""Mannan Oligosaccharides"", ""Fructo Oligosaccharides"", ""Glucosamine"", ""MSM""]",2.238666666666667,low,"[""UK""]","[{""type"": ""retailer:aadf"", ""url"": ""https://www.allaboutdogfood.co.uk/dog-food-reviews/0786/k9-optimum-medium-maxi-senior""}]",https://www.allaboutdogfood.co.uk/dog-food-reviews/0786/k9-optimum-medium-maxi-senior,aadf,0.7
0_0_d737da,0 0,0_0,0,0 0 people have viewed this product in the last 30 days Feelwells Grain Free Adult Private label (3 varieties) Type: Complete Dry extruded Breeds: All breeds Ages: From 12 months to old age RRP: 13.5kg bags = £60.00,0-0-people-have-viewed-this-product-in-the-last-30-days-feelwells-grain-free-adult-private-label-3-v,dry,senior,,,,,,,"Chicken 55% (Freshly Prepared Chicken 31%, Dried Chicken 21%, Chicken Stock 3%), Sweet Potato (26%), Peas (6%), Potato, Beet Pulp, Linseed, Omega 3 Supplement, Minerals, Vitamins, Vegetable Stock, Marjoram, Basil, Oregano, Sage, Thyme, Parsley, FOS (96 mg/kg), MOS (24
mg/kg).","[""Chicken 55% (Freshly Prepared Chicken 31%"", ""Dried Chicken 21%"", ""Chicken Stock 3%)"", ""Sweet Potato (26%)"", ""Peas (6%)"", ""Potato"", ""Beet Pulp"", ""Linseed"", ""Omega 3 Supplement"", ""Minerals"", ""Vitamins"", ""Vegetable Stock"", ""Marjoram"", ""Basil"", ""Oregano"", ""Sage"", ""Thyme"", ""Parsley"", ""FOS (96 mg/kg)"", ""MOS (24\nmg/kg).""]",2.576,low,"[""UK""]","[{""type"": ""retailer:aadf"", ""url"": ""https://www.allaboutdogfood.co.uk/dog-food-reviews/0506/feelwells-grain-free-adult""}]",https://www.allaboutdogfood.co.uk/dog-food-reviews/0506/feelwells-grain-free-adult,aadf,0.7
0_0_3925fb,0 0,0_0,0,0 0 people have viewed this product in the last 30 days Nourish Grain Free Adult Small Breed Private label (2 varieties) Type: Complete Dry extruded Breeds: Toy & small breeds Ages: From 12 months to old age RRP: 6kg bags = £28.95,0-0-people-have-viewed-this-product-in-the-last-30-days-nourish-grain-free-adult-small-breed-private,dry,senior,,,,,,,"Chicken 55% (Freshly Prepared Chicken 27%, Dried Chicken 26%, Chicken Stock 2%), Sweet Potato (26%), Peas (7%), Beet Pulp, Potato, Linseed, Omega 3 Supplement, Minerals, Vitamins, Vegetable Stock, Marjoram, Basil, Oregano, Sage, Thyme, Parsley, FOS (96 mg/kg), MOS (24 mg/kg).","[""Chicken 55% (Freshly Prepared Chicken 27%"", ""Dried Chicken 26%"", ""Chicken Stock 2%)"", ""Sweet Potato (26%)"", ""Peas (7%)"", ""Beet Pulp"", ""Potato"", ""Linseed"", ""Omega 3 Supplement"", ""Minerals"", ""Vitamins"", ""Vegetable Stock"", ""Marjoram"", ""Basil"", ""Oregano"", ""Sage"", ""Thyme"", ""Parsley"", ""FOS (96 mg/kg)"", ""MOS (24 mg/kg).""]",2.668,low,"[""UK""]","[{""type"": ""retailer:aadf"", ""url"": ""https://www.allaboutdogfood.co.uk/dog-food-reviews/2542/nourish-grain-free-adult-small-breed""}]",https://www.allaboutdogfood.co.uk/dog-food-reviews/2542/nourish-grain-free-adult-small-breed,aadf,0.7
157_157_fb9873,157 157,157_157,157,157 157 people have viewed this product in the last 30 days Pets Love Fresh Adult (3 varieties) Type: Complete Chilled Fresh Breeds: All breeds Ages: From 12 months to old age RRP: 1kg rolls = £8.00,157-157-people-have-viewed-this-product-in-the-last-30-days-pets-love-fresh-adult-3-varieties-type-c,,senior,,,,,,,"Chicken Meat (70%), ≪i>water (17%)</i>, Organic Brown Rice Flour ≪i>(5%)</i>, Chicken Liver (3%), Egg Products Dried, Minerals, Lignocellulose, Dried Algae, Chicory Inulin, Vitamins, Cranberry Powder.","[""Chicken Meat (70%)"", ""\u226ai>water (17%)</i>"", ""Organic Brown Rice Flour \u226ai>(5%)</i>"", ""Chicken Liver (3%)"", ""Egg Products Dried"", ""Minerals"", ""Lignocellulose"", ""Dried Algae"", ""Chicory Inulin"", ""Vitamins"", ""Cranberry Powder.""]",16.376,medium,"[""UK""]","[{""type"": ""retailer:aadf"", ""url"": ""https://www.allaboutdogfood.co.uk/dog-food-reviews/2548/pets-love-fresh-adult""}]",https://www.allaboutdogfood.co.uk/dog-food-reviews/2548/pets-love-fresh-adult,aadf,0.5
159_159_2fbf02,159 159,159_159,159,159 159 people have viewed this product in the last 30 days Cobbydog Salmon and Ocean Fish Wet Tray Type: Complete Wet paté/loaf Breeds: All breeds Ages: From 2 months to 0 months RRP: 395g trays = £2.74,159-159-people-have-viewed-this-product-in-the-last-30-days-cobbydog-salmon-and-ocean-fish-wet-tray-,wet,,,,,,,,"Salmon (40%), Ocean Fish (26%), Sweet Potato (4%), Mixed Herbs (0.5%), Sunflower Oil, Prebiotic Mannan Oligosaccharides, Seaweed, Glucosomine  Chondroitin, Yucca Extract, Cranberry Extract, Yeast Extract, Vegetables, Vitamins and Minerals.","[""Salmon (40%)"", ""Ocean Fish (26%)"", ""Sweet Potato (4%)"", ""Mixed Herbs (0.5%)"", ""Sunflower Oil"", ""Prebiotic Mannan Oligosaccharides"", ""Seaweed"", ""Glucosomine  Chondroitin"", ""Yucca Extract"", ""Cranberry Extract"", ""Yeast Extract"", ""Vegetables"", ""Vitamins and Minerals.""]",,,"[""UK""]","[{""type"": ""retailer:aadf"", ""url"": ""https://www.allaboutdogfood.co.uk/dog-food-reviews/4190/cobbydog-salmon-and-ocean-fish-wet-tray""}]",https://www.allaboutdogfood.co.uk/dog-food-reviews/4190/cobbydog-salmon-and-ocean-fish-wet-tray,aadf,0.5
229_229_43b4cd,229 229,229_229,229,229 229 people have viewed this product in the last 30 days Carnilove Dry Puppy Large Breed Type: Complete Dry extruded Breeds: Large & giant breeds Ages: From 3 months to 3 years RRP: 12kg bags = £65.95,229-229-people-have-viewed-this-product-in-the-last-30-days-carnilove-dry-puppy-large-breed-type-com,dry,,,,,,,,"Salmon Meal (25%), Turkey Meal (20%), Yellow Peas (18%), Chicken Fat (9%), Salmon Deboned (6%), Chicken Protein Hydrolyzed (5%), Tapioca Starch (5%), Apples (3%), Chicken Liver (3%), Salmon Oil (2%), Carrots (1%), Flaxseed (1%), Chickpeas (1%), Hydrolyzed Crustacean Shells (0.031%), Cartilage Extract (0.019%), Brewer's Yeast (0.018%), Chicory Root (0.012%), Yucca Schidigera (0.011%), Algae (0.01%), Psyllium (0.01%), Thyme (0.01%), Rosemary (0.01%), Oregano (0.01%), Cranberries (0.0008%), Blueberries (0.0008%), Raspberries (0.0008%).","[""Salmon Meal (25%)"", ""Turkey Meal (20%)"", ""Yellow Peas (18%)"", ""Chicken Fat (9%)"", ""Salmon Deboned (6%)"", ""Chicken Protein Hydrolyzed (5%)"", ""Tapioca Starch (5%)"", ""Apples (3%)"", ""Chicken Liver (3%)"", ""Salmon Oil (2%)"", ""Carrots (1%)"", ""Flaxseed (1%)"", ""Chickpeas (1%)"", ""Hydrolyzed Crustacean Shells (0.031%)"", ""Cartilage Extract (0.019%)"", ""Brewer's Yeast (0.018%)"", ""Chicory Root (0.012%)"", ""Yucca Schidigera (0.011%)"", ""Algae (0.01%)"", ""Psyllium (0.01%)""]",2.2693333333333334,low,"[""UK""]","[{""type"": ""retailer:aadf"", ""url"": ""https://www.allaboutdogfood.co.uk/dog-food-reviews/1510/carnilove-dry-puppy-large-breed""}]",https://www.allaboutdogfood.co.uk/dog-food-reviews/1510/carnilove-dry-puppy-large-breed,aadf,0.5
10_10_a3630a,10 10,10_10,10,10 10 people have viewed this product in the last 30 days Bonacibo Puppy Can Type: Complete Wet paté/loaf Breeds: All breeds Ages: From 2 months to 18 months RRP: 395g cans = £2.33,10-10-people-have-viewed-this-product-in-the-last-30-days-bonacibo-puppy-can-type-complete-wet-pat-l,wet,,,,,,,,"Meat and Animal Derivatives 54% (Including minimum 4% Lamb), Cereals (Including 4% Rice), Derivatives of Vegetable Origin, Minerals.","[""Meat and Animal Derivatives 54% (Including minimum 4% Lamb)"", ""Cereals (Including 4% Rice)"", ""Derivatives of Vegetable Origin"", ""Minerals.""]",10.181333333333333,medium,"[""UK""]","[{""type"": ""retailer:aadf"", ""url"": ""https://www.allaboutdogfood.co.uk/dog-food-reviews/3716/bonacibo-puppy-can""}]",https://www.allaboutdogfood.co.uk/dog-food-reviews/3716/bonacibo-puppy-can,aadf,0.5
103_103_20c0e6,103 103,103_103,103,103 103 people have viewed this product in the last 30 days Iams Advanced Nutrition Senior Large Breed Type: Complete Dry extruded Breeds: Large & giant breeds Ages: From 8 years to old age RRP: 12kg bags = £31.99,103-103-people-have-viewed-this-product-in-the-last-30-days-iams-advanced-nutrition-senior-large-bre,dry,senior,,,,,,,"Dried Chicken and Turkey 25% (Including Chicken 15%), Barley, Maize, Fresh Chicken (10%), Maize Flour, Pork Fat, Dried Beet Pulp (2.5%), Chicken Gravy, Minerals (Including Sodium Hexametaphosphate 0.35%), Linseed, Fructooligosaccharides (0.2%), Dried Brewers Yeast, Glucosamine Hydrochloride (0.045%).","[""Dried Chicken and Turkey 25% (Including Chicken 15%)"", ""Barley"", ""Maize"", ""Fresh Chicken (10%)"", ""Maize Flour"", ""Pork Fat"", ""Dried Beet Pulp (2.5%)"", ""Chicken Gravy"", ""Minerals (Including Sodium Hexametaphosphate 0.35%)"", ""Linseed"", ""Fructooligosaccharides (0.2%)"", ""Dried Brewers Yeast"", ""Glucosamine Hydrochloride (0.045%).""]",1.6560000000000004,low,"[""UK""]","[{""type"": ""retailer:aadf"", ""url"": ""https://www.allaboutdogfood.co.uk/dog-food-reviews/0089/iams-advanced-nutrition-senior-large-breed""}]",https://www.allaboutdogfood.co.uk/dog-food-reviews/0089/iams-advanced-nutrition-senior-large-breed,aadf,0.7
135_135_820212,135 135,135_135,135,135 135 people have viewed this product in the last 30 days Platinum Vetactive Dry Senior Type: Complete Semi-moist Breeds: All breeds Ages: From 7 years to old age RRP: 5kg bags = £32.99,135-135-people-have-viewed-this-product-in-the-last-30-days-platinum-vetactive-dry-senior-type-compl,,senior,,,,,,,"Fresh Chicken Meat 70%, Broken Rice, Dried Chicken Protein, Dried Peas, Dried Brewers Yeast, Dried Vegetable Fibre, Dried Apple Pulp, Dried Lentils, Cold Pressed Coconut Oil, Cold Pressed Canola Oil, Cold Pressed Flaxseed Oil, Cold Pressed Salmon Oil, Green-Lipped Mussel Extract, Rosemary Extract.","[""Fresh Chicken Meat 70%"", ""Broken Rice"", ""Dried Chicken Protein"", ""Dried Peas"", ""Dried Brewers Yeast"", ""Dried Vegetable Fibre"", ""Dried Apple Pulp"", ""Dried Lentils"", ""Cold Pressed Coconut Oil"", ""Cold Pressed Canola Oil"", ""Cold Pressed Flaxseed Oil"", ""Cold Pressed Salmon Oil"", ""Green-Lipped Mussel Extract"", ""Rosemary Extract.""]",3.68,low,"[""UK""]","[{""type"": ""retailer:aadf"", ""url"": ""https://www.allaboutdogfood.co.uk/dog-food-reviews/4352/platinum-vetactive-dry-senior""}]",https://www.allaboutdogfood.co.uk/dog-food-reviews/4352/platinum-vetactive-dry-senior,aadf,0.5
21_21_3c8758,21 21,21_21,21,21 21 people have viewed this product in the last 30 days Bob & Lush Adult Wet Type: Complete Wet other Breeds: All breeds Ages: From 12 months to old age RRP: 400g cans = £3.50,21-21-people-have-viewed-this-product-in-the-last-30-days-bob-lush-adult-wet-type-complete-wet-other,wet,senior,,,,,,,"Lamb 70% (Meat, Heart, Liver, Tripe), Lamb Broth (23%), Carrots (5%), Minerals (1%), Linseed Oil (1%).","[""Lamb 70% (Meat"", ""Heart"", ""Liver"", ""Tripe)"", ""Lamb Broth (23%)"", ""Carrots (5%)"", ""Minerals (1%)"", ""Linseed Oil (1%).""]",8.280000000000001,low,"[""UK""]","[{""type"": ""retailer:aadf"", ""url"": ""https://www.allaboutdogfood.co.uk/dog-food-reviews/0545/bob-and-lush-adult-wet""}]",https://www.allaboutdogfood.co.uk/dog-food-reviews/0545/bob-and-lush-adult-wet,aadf,0.7
