product_key,brand,product_name,form,life_stage,kcal_per_100g,price_per_kg,price_bucket
bozita|chicken__rice_chunks_in_jelly|unknown,Bozita,Chicken  Rice Chunks In Jelly,,,386.0,,
alpha|spirit_poultry-the_only_one|unknown,Alpha,Spirit Poultry-The Only One,,,372.5,,
arquivet|arquivet_grain-free_turkey|dry,Arquivet,Arquivet Grain-Free Turkey,dry,,362.450000166893,61.99,super_premium
arden|grange_grain_free_puppy|unknown,Arden,Grange Grain Free Puppy,,puppy,362.5,,
bosch|light|unknown,Bosch,Light,,,346.0,,
belcando|adult_grain_free_ocean|unknown,Belcando,Adult Grain Free Ocean,,adult,366.0,,
brit|brit_premium_by_nature_junior_large_breed_with_chicken|dry,Brit,Brit Premium by Nature Junior Large Breed with Chicken,dry,puppy,362.8,11.99,mid
advance_veterinary_diets|advance_veterinary_diets_light_articular_care|dry,Advance Veterinary Diets,Advance Veterinary Diets Light Articular Care,dry,,328.5,162.99,
aldi|adult_dry_with_beef__vegetables|dry,Aldi,Adult Dry with Beef  Vegetables,dry,adult,353.0,,
aldi|earls_beef_in_gravy|unknown,Aldi,Earls Beef in Gravy,dry,adult,356.5,,
alpha|spirit_anchovy_with_red_apple|unknown,Alpha,Spirit Anchovy with Red Apple,dry,adult,372.5,,
bright|eyes_bushy_tails_grain_free_salmon_trout_sweet_potato_and_asparagus_working_dog|unknown,Bright,Eyes Bushy Tails Grain Free Salmon Trout Sweet Potato and Asparagus Working Dog,,,376.0,,
arden_grange|arden_grange_adult_chicken_&_rice|dry,Arden Grange,Arden Grange Adult Chicken & Rice,dry,adult,366.0,12.75,mid
aniforte|pure_nature_country_beef|unknown,AniForte,Pure Nature Country Beef,dry,,362.5,,
borders|pet_foods_superior_puppy_free_range_turkey|unknown,Borders,Pet Foods Superior Puppy Free Range Turkey,,puppy,372.5,,
benyfit|natural_goose__turkey_complete|unknown,Benyfit,Natural Goose  Turkey Complete,,,,,
advance_veterinary_diets|advance_veterinary_diets_urinary_low_purine|dry,Advance Veterinary Diets,Advance Veterinary Diets Urinary Low Purine,dry,,263.049997329712,87.49,super_premium
advance_veterinary_diets|advance_maxi_light|dry,Advance Veterinary Diets,Advance Maxi Light,dry,adult,309.300000667572,121.99,
brit|premium_by_nature_lamb_with_buckwheat_adult|unknown,Brit,Premium by Nature Lamb with Buckwheat Adult,,adult,372.5,,
alpha|spirit_lamb_with_pear|unknown,Alpha,Spirit Lamb with Pear,,,372.5,,
browns|natural_pet_store_saygrace_grain_free_adult_gentle_haddock|unknown,Browns,Natural Pet Store SayGrace Grain Free Adult Gentle Haddock,,adult,366.0,,
akela|80:20_fish_feast_complete_working_dog_food|unknown,Akela,80:20 Fish Feast Complete Working Dog Food,dry,adult,372.5,,
bozita|purely_puppy__junior_turkey|unknown,Bozita,Purely Puppy  Junior Turkey,,puppy,372.5,,
brit|junior_medium_breed_chicken|dry,Brit,Junior Medium Breed Chicken,dry,puppy,382.5,,
"applaws|adult_chicken,_beef_liver__vegetables|wet",Applaws,"Adult Chicken, Beef Liver  Vegetables",wet,adult,366.0,,
affinity|advance_maxi_adult_chicken__rice|unknown,Affinity,Advance Maxi Adult Chicken  Rice,dry,adult,366.0,,
biofood|control_mini|unknown,Biofood,Control Mini,,,362.5,,
applaws|adult_chicken__lamb|dry,Applaws,Adult Chicken  Lamb,dry,adult,366.0,,
animonda|grancarno_adult_poultry_&_beef_(dry)|dry,Animonda,GranCarno Adult Poultry & Beef (dry),dry,adult,352.0,,
acana|acana_yorkshire_pork|dry,Acana,Acana Yorkshire Pork,dry,adult,372.5,26.9,premium
acana|highest_protein_pacifica|dry,Acana,Highest Protein Pacifica,dry,,372.5,,
beanfields|farm_angus_beef_with_sweet_potato|unknown,Beanfields,Farm Angus Beef with Sweet Potato,dry,adult,366.0,,
beta|puppy_turkey__lamb|unknown,Beta,Puppy Turkey  Lamb,,puppy,346.0,,
4pawsraw|grain_free_angus_beef_with_carrot|raw,4PAWSRAW,Grain Free Angus Beef with Carrot,raw,adult,366.0,,
bullybillows|scottish_salmon_super_food_puppy|unknown,BULLYBILLOWS,Scottish Salmon Super Food Puppy,,puppy,366.0,,
asda|hero_meaty__poultry_chunks_in_jelly|wet,ASDA,Hero Meaty  Poultry Chunks in Jelly,wet,,349.5,,
