web-scraper-order,web-scraper-start-url,pagination-selector,data-page-selector,data-page-selector-href,image-0-src,text-1,text-2,text-3,text-4
"1757708526-2705","https://www.zooplus.com/shop/dogs/dry_dog_food","","Royal Canin Shih Tzu Adult Economy Pack: 2 x 7.5kg","https://www.zooplus.com/shop/dogs/dry_dog_food/royal_canin_breed/shih_tzu/207890?activeVariant=207890.8","https://media.zooplus.com/bilder/8/400/61170_pla_royalcanin_adulthund_shihtzu_8.jpg","Royal Canin Shih Tzu Adult","","","Balanced dry dog food for adult Shih Tzu dogs over 10 months old, with borage oil and omega-3 fatty acids, as well as calcium catchers to support dental hygiene, with a tailored kibble."
"1757708529-2706","https://www.zooplus.com/shop/dogs/dry_dog_food","","Briantos Grain-Free Trial Pack 2 x 1kg Duck & Potato + Salmon & Potato","https://www.zooplus.com/shop/dogs/dry_dog_food/briantos/trial_packs/998805?activeVariant=998805.0","https://media.zooplus.com/bilder/4/400/briantos_124496_124502_4.jpg","Briantos Grain-Free Trial Pack 2 x 1kg","","","Grain-free dry dog food with delicious semi-moist kibble. Valuable animal protein from duck or salmon, with hearty potato and sweet potato. Try both varieties in this great-value mixed trial pack!"
"1757708531-2707","https://www.zooplus.com/shop/dogs/dry_dog_food","","Hill’s Science Plan Mature Adult 7+ Small & Mini with Chicken 1.5kg","https://www.zooplus.com/shop/dogs/dry_dog_food/hills_science_plan/senior/128165?activeVariant=128165.7","https://media.zooplus.com/bilder/8/400/106006_pla_hill_s_scienceplan_matureadult_small_mini_chicken_3kg_hs_01_8.jpg","Hill’s Science Plan Mature Adult 7+ Small & Mini with Chicken","","","Dry food for senior small breed dogs, prepared with tasty chicken with a balanced mineral content and offering high-quality protein, antioxidants, vitamin and omega-6 fatty acids, in pellet form."
"1757708533-2708","https://www.zooplus.com/shop/dogs/dry_dog_food","","Hill’s Science Plan Mature Adult 7+ Light Medium with Chicken Economy Pack: 2 x 14kg","https://www.zooplus.com/shop/dogs/dry_dog_food/hills_science_plan/senior/128157?activeVariant=128157.7","https://media.zooplus.com/bilder/6/400/106009_pla_hill_s_scienceplan_matureadult_medium_light_chicken_14kg_hs_01_6.jpg","Hill’s Science Plan Mature Adult 7+ Light Medium with Chicken","","","Reduced-calorie dry food for senior medium breed dogs, helping to support weight control in a filling, satisfying and delicious recipe enriched with L-carnitine, omega-6 fatty acids and vitamin E."
"1757708536-2709","https://www.zooplus.com/shop/dogs/dry_dog_food","","Hill’s Science Plan Mature Adult 7+ Light Medium with Chicken 2.5kg","https://www.zooplus.com/shop/dogs/dry_dog_food/hills_science_plan/senior/128157?activeVariant=128157.8","https://media.zooplus.com/bilder/6/400/106009_pla_hill_s_scienceplan_matureadult_medium_light_chicken_14kg_hs_01_6.jpg","Hill’s Science Plan Mature Adult 7+ Light Medium with Chicken","","","Reduced-calorie dry food for senior medium breed dogs, helping to support weight control in a filling, satisfying and delicious recipe enriched with L-carnitine, omega-6 fatty acids and vitamin E."
"1757708538-2710","https://www.zooplus.com/shop/dogs/dry_dog_food","","Wolf of Wilderness ""Explore The Endless Terrain"" - Mobility 1kg","https://www.zooplus.com/shop/dogs/dry_dog_food/wolf_of_wilderness/wow_explore_dry_dog_food/1090251?activeVariant=1090251.0","https://media.zooplus.com/bilder/5/400/wow_mobility_front_1kg_1000x1000_5.jpg","Wolf of Wilderness ""Explore The Endless Terrain"" - Mobility","","","Specialised nutrition dry dog food with cartilage building blocks glucosamine and chondroitin sulphate for strong joints. Grain-free, with lots of fresh meat, vitamin C, wild berries, herbs and roots."
"1757708541-2711","https://www.zooplus.com/shop/dogs/dry_dog_food","","12kg IAMS Advanced Nutrition Dry Dog Food - 10kg + 2kg Free! * Weight Control - Chicken (12kg)","https://www.zooplus.com/shop/dogs/dry_dog_food/155444/853523?activeVariant=853523.0","https://media.zooplus.com/bilder/1/400/83716_pla_iams_vitality_dog_weightcontrol_huhn_hs_01_1.jpg","12kg IAMS Advanced Nutrition Dry Dog Food - 10kg + 2kg Free! *","","","2 kg free"
"1757708543-2712","https://www.zooplus.com/shop/dogs/dry_dog_food","","Concept for Life Labrador Sterilised 12kg","https://www.zooplus.com/shop/dogs/dry_dog_food/concept_for_life/concept_for_life_breed/1134489?activeVariant=1134489.3","","Concept for Life Labrador Sterilised","","","zooplus choice"
"1757708545-2713","https://www.zooplus.com/shop/dogs/dry_dog_food","","Concept for Life Mini Adult Economy Pack: 2 x 4kg","https://www.zooplus.com/shop/dogs/dry_dog_food/concept_for_life/concept_for_life_mini/561527?activeVariant=561527.4","https://media.zooplus.com/bilder/7/400/66943_pla_concept_for_life_mini_adult_4kg_7.jpg","Concept for Life Mini Adult","","","zooplus choice"
"1757708548-2714","https://www.zooplus.com/shop/dogs/dry_dog_food","","PURINA Dog Chow Adult Sensitive Salmon 14kg","https://www.zooplus.com/shop/dogs/dry_dog_food/beta_dry_dog_food/adult/603110?activeVariant=603110.9","https://media.zooplus.com/bilder/8/400/82104_pla_dog_chow_adult_sensitive_salmon_14k_8.jpg","PURINA Dog Chow Adult Sensitive Salmon","","","zooplus choice"
