brand_slug,our_count,opff_count,total_potential_matches
affinity,16,8,128
brit,73,1,73
animonda,13,5,65
auchan,1,56,56
acana,33,1,33
applaws,31,1,31
aldi,15,1,15
brekkies,2,6,12
advance,4,1,4
benevo,4,1,4
